"X1010_TCX"	"X1015_TCX"	"X1019_TCX"	"X1029_TCX"	"X1034_TCX"	"X1036_TCX"	"X1045_TCX"	"X1046_TCX"	"X1047_TCX"	"X1052_TCX"	"X1058_TCX"	"X1078_TCX"	"X1085_TCX"	"X1089_TCX"	"X1098_TCX"	"X1103_TCX"	"X1104_TCX"	"X1105_TCX"	"X1114_TCX"	"X1119_TCX"	"X1121_TCX"	"X1123_TCX"	"X1195_TCX"	"X1214_TCX"	"X142_TCX"	"X149_TCX"	"X731_TCX"	"X732_TCX"	"X736_TCX"	"X791_TCX"	"X797_TCX"	"X813_TCX"	"X816_TCX"	"X828_TCX"	"X834_TCX"	"X850_TCX"	"X859_TCX"	"X892_TCX"	"X894_TCX"	"X962_TCX"	"X976_TCX"	"X991_TCX"
"ENSG00000223572"	1016.26045207632	1041.58405768079	745.172948288673	902.430285425938	1366.23007925633	1705.85902823991	1800.33157816316	968.883625651774	2639.26485865113	3054.39252377534	1130.46271970448	456.985423307325	1614.09341419573	1199.71039952997	2637.38771805337	2066.49823115771	1008.21608412942	1817.89813017297	908.019026581912	579.301229621313	1277.12564456504	1033.16197907025	1697.71656482215	1638.78401347002	1131.45466216279	938.872016120792	2428.1951776321	2524.47941797969	1557.64100416949	1266.83312551997	1059.71126922225	750.566905024946	2257.1598036091	1275.03196415437	357.777671138823	819.358264640624	1265.85367650532	2500.14332102499	2281.82589727487	512.986430939567	288.283948823955	1837.05014662258
"ENSG00000169762"	2666.48902315949	2442.38195106076	2306.94457810685	2518.73642346287	3077.74763564141	2614.54100816088	2435.35762573344	2901.2280208416	2674.55240171286	2537.66319403228	2437.26502799795	3506.89057204696	2169.43273324228	2938.29072018215	2066.63200187698	2466.72281142051	2378.67220738431	2472.4629539863	2511.98399918085	2831.71587900418	2457.78095284623	3014.702129197	2656.74015410412	2554.41146974011	2339.44123075935	2487.41092449894	2393.88153006789	2547.1932430772	2458.52618236463	2624.55179005968	3100.39365143971	2523.50069064865	2584.38119525657	2848.10937478194	3671.15563435408	2543.9827066745	3086.29145558382	2241.83922971295	2819.90634467382	2758.4013229379	3002.1873620967	2290.0106244562
"ENSG00000132467"	690.25004581986	374.861408087598	615.114150447159	534.968390777281	770.502611000255	504.268571274823	559.739454301637	700.452248022505	689.932307448221	812.893953125205	575.202943730783	708.271811792618	592.06643478737	679.835893066982	521.124784334972	554.893043551608	479.996088995985	636.34028115495	495.9913271987	849.895882931268	658.476423809002	686.523755155613	541.779142002804	592.988376903953	606.167486185601	581.170776752088	672.143802287189	714.944685211901	558.146715077328	587.97379325012	623.359570130736	639.602694813616	651.938537950704	603.622727333839	645.258849707847	651.237403124735	612.310328863322	539.435055809814	679.440564935962	512.986430939567	653.891872259584	629.418124850534
"ENSG00000115107"	103.006545299271	223.147988843434	328.345161763821	177.153467109854	246.177182767716	292.908477044122	137.479865968823	258.489474754111	92.4776990583154	120.024610528554	155.346780423642	210.146581520887	160.839437899457	179.956559929495	115.143761872108	153.073943048719	134.578342709155	274.886851763833	141.959123316905	270.594653309955	244.273512058178	195.077788350229	134.114286625449	156.869345484911	255.686141949163	194.223524101666	284.601429797278	146.017447055381	191.474001741794	114.998028963746	129.593173790337	457.571518511885	163.610695823736	139.87692433761	181.511839023508	203.223019414811	194.826013729239	93.710321499255	247.152205500196	222.782678579469	374.853181269633	201.665882305052
"ENSG00000165572"	1702.26280530652	1174.92858759942	1023.41349121191	1276.90815897003	1726.43738564372	1934.69377593063	1487.18299456751	1342.15688814635	1973.6687877972	2179.14812362231	1630.09155403997	1312.02627616215	1537.47305204678	1695.59069800235	1893.91635906881	1820.94211418373	1596.99633348197	2092.02562599271	1236.94870256011	1324.38932429873	1481.57195357025	1350.53853473235	1816.92926404477	1746.70122277525	1479.32696413444	1504.29493956734	1815.5956461181	1920.94063681745	1492.53984357728	1540.41714603856	1334.48160605619	1029.84761387144	1900.72221627881	1661.30747059438	1135.23589493316	1413.32372593028	1553.45398248658	1967.91675148435	2083.92173272305	990.79664947185	763.994488282728	1126.49301443838
"ENSG00000237429"	63.7153888449102	174.164283975363	181.229472402109	212.233361587052	127.884250788424	158.104007495406	180.578712840002	172.627586286837	92.4776990583154	93.5256705417302	100.765479193714	142.321494363352	105.115538154763	132.967902614571	109.188050051137	149.884902568538	279.250061121496	66.8233230807108	189.567365892697	45.7343076016826	215.066896486005	177.070607887131	67.0571433127243	73.4282042695327	106.101052101353	125.232928667869	179.642037247927	157.915164963597	70.8453806444636	82.5389078852692	150.918632768494	132.159621150572	132.725003244766	81.7742019204487	88.1329160576571	93.297840731345	199.980141076573	81.6961777172992	112.176093271306	104.55152021054	100.857358189139	120.526874971379
"ENSG00000002586"	2735.51402774148	4199.6723632028	2285.6234637066	1176.05346234809	1402.46395031305	2634.51204068662	778.507018799646	1610.58826577562	1632.9614754771	806.658908422423	3940.35009263751	1605.56435828656	2250.48567832547	1525.63172473561	956.884365902692	1475.72848220406	1299.80249333259	2410.95512251428	2176.1294879189	2099.96695737726	1357.6650996277	1197.47750079602	2094.73742919748	2093.81637023122	3156.94114039273	1741.2626369269	1970.00706015705	777.678106909768	3618.8586329199	1884.48382947042	2242.45403254925	3820.16112457879	1078.49499491973	1945.36522463383	3624.99077356197	1368.98415805795	935.989526275921	2142.12183632271	1668.04938693674	4312.99448793762	2719.78675916711	3633.13691090195
"ENSG00000196453"	636.091965301687	629.304541707855	542.622361486315	583.203245683429	518.996917783021	560.853163431074	535.189478235776	504.325618576203	539.047640563601	616.490044987572	499.628834335497	502.572776970586	547.740605445	566.86316377791	633.290690296595	587.58070847347	791.769249605527	468.522617509074	562.642866804808	641.233104498592	613.338927015643	629.501017022469	497.074379794321	510.659784238114	554.856321644782	504.681203553749	572.230534379634	652.211263514034	502.619254572208	494.30604385223	564.304452960455	569.782517601994	625.226587612135	558.43172100938	513.059475621361	482.192800611506	527.782640367039	778.516517070734	609.216506546608	513.963547950881	474.029583488953	604.997646915156
"ENSG00000259865"	186.89847394507	190.492185598054	194.022141042258	269.2381901125	306.922201892218	277.93020264982	132.024315731965	316.333273300486	214.158882029783	233.814176354326	230.920889818927	220.15356159331	248.224644317272	146.964523942421	227.309667833731	171.410925809764	217.568320713134	211.100952459518	200.820223228793	224.860345708273	193.825721524424	269.357407760508	249.069389447262	258.111263492903	252.207418929447	199.472808536846	131.199240686689	170.894493590742	175.198711593741	213.302795658561	282.152226480228	256.83850902847	262.11101269721	239.942724056054	161.577012772371	191.21438644939	204.103442954441	221.060245587986	237.120197158859	188.583583183498	213.481408167011	245.780294059282
"ENSG00000176894"	264.418863706377	244.238195106076	283.5708215233	217.495345758632	221.666034699935	189.724808994488	169.1220573426	203.357104264598	194.689892754348	198.742049901177	278.154708190981	234.608088364588	252.657227251509	189.954146592245	259.073464212243	194.531469291081	291.586409203169	150.352476931599	297.767917201314	124.816547829592	210.641651702342	241.596337879899	206.493425439183	156.869345484911	235.683484585793	212.970968513023	189.734286531519	192.526707969317	228.811432081443	346.848893810008	260.826767502071	275.540342210154	172.792928752619	213.04331552959	321.055622781465	249.410069281813	172.147853400968	194.629129267683	185.136153935571	336.128251891831	284.922036884318	286.743676402496
"ENSG00000134690"	73.2726971716467	70.7542403649913	125.794574961464	96.4697098122966	63.942125394212	48.2633286038609	98.745459287131	72.3047481829682	55.9733441668751	82.6143423118617	82.9215922531603	156.77602113463	68.3884224139422	80.9804519682728	53.60140638874	65.375329843724	81.8684918147358	61.5078314720179	121.184617465651	83.8462306030848	90.274993586718	87.0347055716406	70.2503406133302	36.7141021347663	59.1382913351806	88.4879376216082	83.7656690538089	56.2437573842948	59.356940539956	56.5716110224879	56.5944872881852	74.8073327267388	85.1443417041893	104.369705082678	67.1488884248816	114.543883670166	94.8359431909523	56.4664757751921	63.8400530812313	108.459988255794	53.7905910342074	88.2288235084603
"ENSG00000283563"	512.908880201527	727.952280678276	623.642596207258	758.602718069423	525.391130322442	369.464101726108	451.174004588162	542.285611372262	492.808791034444	219.005945185218	506.976317193372	474.775610102744	635.759037996278	620.850131756758	484.397894772317	395.441019542525	703.171840655334	518.640109819607	650.934516672639	621.224344922856	545.190157347238	509.453147268483	523.68435729937	591.875828354415	498.327072574389	490.433145801117	533.879987101987	517.00992364794	426.029653875491	585.191582871965	357.611542864475	754.307271661283	556.777214869552	726.284030214512	613.782808258684	622.601432207193	632.92683825266	476.961508143644	358.416298013199	936.078096838296	780.804047980917	518.344338112204
"ENSG00000231738"	113.625776773423	65.99193572504	77.8220675609057	104.362686069666	62.8764233043085	73.2271192610304	119.476550187192	140.994258956788	85.1768280800273	104.436998771599	73.4748285787496	319.111475642828	54.4574474777688	119.971039952997	87.3504400409096	77.3342316444052	37.0090442450176	190.598341968845	78.7700013526731	103.854990178821	83.1946019328577	201.830481023891	89.4095244169657	144.631311439989	45.2233992563146	224.219435159838	65.5996203433443	73.5495288871547	134.989171227964	58.426417941258	232.939628838328	54.8587106662751	218.704093397035	69.9384621688048	144.789790666151	67.4330928058236	173.178678870435	104.523050903015	158.688131944775	42.9931484977923	164.73368504226	73.2614338061322
"ENSG00000124562"	1053.42776223585	791.222899466201	850.712464569901	704.228881629765	840.838948933888	960.273813945785	690.127104962545	926.40458609428	939.37873253973	1208.03991116402	1035.99508296037	845.033872782401	882.717230046625	916.778696974151	1070.04289050114	772.545056324006	846.722072878432	988.68143921688	682.96187985999	1028.06912296282	785.923473578486	805.821325723638	855.776876562386	722.044008650405	842.720651526323	836.885918523007	876.007237815736	941.001325468009	928.648908447698	928.330862844432	898.129906964678	870.258637387728	815.549233774441	888.756457714351	921.198813078845	986.555385159173	718.48535221841	1104.09981356173	912.000758303305	750.425864688738	835.435117000034	989.423235059162
"ENSG00000125877"	904.758521597724	735.435902255343	757.965616928822	592.850216664659	652.209679020963	601.627354837784	575.01499496484	603.744647327785	826.215232376265	953.1824589378	715.854758438675	515.91541706715	736.441993216804	551.866783783785	853.652027672526	590.769748953652	935.319481828625	699.366824515166	796.35605763142	722.220940876571	615.109024929108	833.582395604248	649.283451123203	528.460561030728	770.537148867206	734.149923148766	781.140094549977	692.230860114397	661.542676017897	867.122234525019	813.64828101275	790.464149145873	700.353947939361	786.53870531379	450.107392723035	615.211504228473	509.227781916635	963.534331312852	897.408746170452	721.112354349335	717.768199112706	768.063418935257
"ENSG00000128254"	253.799632232226	289.820253802753	219.607478322556	268.36119275057	347.418881308552	506.76495034054	335.516339566771	180.761870457421	450.22037699443	649.224029677177	264.509382883499	148.992814411634	431.226996887914	372.909982520565	548.918106166171	659.334119277557	280.371547310739	589.260212620813	169.658464451911	216.285163032957	318.617624423711	260.353817528959	369.346487770084	390.504540887969	393.095701227965	296.959519475906	640.857829508056	758.209113969051	378.161153440042	268.019599762279	244.422568288104	276.787131088933	407.35724266318	360.452074254609	148.986596192706	206.917983404171	344.295706801936	442.120491175972	716.832596026397	167.087008934602	93.2930563249535	321.404999923677
"ENSG00000090863"	7303.90740792154	8417.03328649685	7035.96775208189	7021.24087961133	6377.16130598275	7084.72378850469	6580.4846956982	5575.59989425914	7547.88377972013	6109.56442813853	8442.25780369833	7004.88605069622	7340.35733909647	7246.25081316101	6657.49319720888	6677.05350538034	6910.5978981151	8019.55812562939	7505.65584317613	7320.34761049432	6457.31718832053	6891.49802306482	7861.65175409177	7746.6755504357	8339.36875901539	7913.6712349223	6644.7369283166	6417.19639540425	7515.3545683654	7296.81041844155	7516.40407983955	7046.85074285879	7320.74388966412	6848.58941083758	7706.38414813681	6533.62007418617	6180.82951492337	7977.39147121863	6450.58136347927	7356.71397817905	8348.46782410598	7052.00382185479
"ENSG00000090266"	2741.88556662597	2396.1195631298	2067.08204110406	2003.06197464805	2478.82306111562	2938.23816034884	2458.81649175193	2353.51955335562	3130.85683785586	4133.83463794448	2660.838434959	2885.34592088201	2163.73369804112	2188.47172047592	3264.722696529	2799.18028147945	2659.04375469505	2642.55868546447	2190.84476289687	2153.32364957922	2531.24001625503	2872.8955830501	2612.03539189564	2359.71547357089	2515.11674325503	2256.44240935101	2829.86669911904	2814.3510906526	2749.56666501215	2765.51711588621	2648.45796309493	2196.84200440856	2404.07553047123	2692.09280532846	2458.27883717965	2962.43737846954	2440.99471169756	2963.88927100849	3157.34662524604	1978.66194790976	2008.74238393368	2432.59470530469
"ENSG00000134046"	1221.21161952744	1314.39608062657	1447.70366777685	1380.39384767777	1550.59654080964	1263.16780725277	1342.61091329077	1591.60826937759	1392.03273319359	1481.60249749858	1377.12821564742	1790.13754628903	1474.15043870053	1500.63775807874	1260.62566877222	1294.75043495375	1189.89684678678	1682.73277212335	1276.76650544168	2007.54554409886	1417.84842868551	1490.09418332136	1288.98731034459	1711.09966919002	1410.62218449504	1357.3149753823	1439.15474784014	1604.02869617133	1583.48999440463	1402.23403059019	1448.49079059326	1597.13655371587	1869.83652369984	1224.46107612461	1944.17016017665	1223.03308047823	1508.09766183004	1458.51705512943	1486.56123603439	1384.57480503117	1630.52729072441	1362.03246291186
