"BM_36_279"	"BM_36_544"	"BM_36_304"	"BM_36_327"	"BM_36_418"	"BM_36_328"	"BM_36_383"	"BM_36_495"	"BM_36_455"	"hB_RNA_12292_resequenced"	"BM_36_307"	"BM_36_375"	"hB_RNA_9105"	"BM_36_507"	"BM_36_368"	"hB_RNA_9085"	"BM_36_539"	"BM_36_403"	"BM_36_291"	"BM_36_492"	"BM_36_345"	"BM_36_352"	"BM_36_377"	"BM_36_347"	"BM_36_465"	"BM_36_297"	"BM_36_505"	"hB_RNA_12322_resequenced"	"hB_RNA_10892"	"BM_36_290"	"BM_36_545"	"BM_36_382"	"BM_36_390"	"BM_36_348"	"BM_36_471"	"BM_36_278"	"BM_36_1107"	"BM_36_281"	"BM_36_388"	"hB_RNA_12252_resequenced"	"BM_36_349"	"hB_RNA_10802"	"hB_RNA_10722"	"BM_36_541"
"ENSG00000188641"	11184.1537586496	12955.8429111234	19321.5766911794	13138.0912854165	12412.650263616	29812.6531067428	19326.0357000696	15670.2140696885	14697.1096775912	5457.83673506146	18840.8143143383	15122.6502718721	9888.58347919564	17670.7827338409	25988.8608515608	8031.56289981133	13551.2467955288	17108.8846197295	16608.900667325	20247.4545417725	16126.3819371684	20032.1436836945	16764.8863207026	18150.4031668882	16657.6784110138	18237.9344101111	16745.9258085557	11924.6615133201	5907.55066437334	20982.0410623759	16549.5742591514	13091.9800975727	27821.4680767828	15442.8714707395	13013.1021040058	13927.1877058537	15208.4511515543	13599.133552189	16852.4728623815	7879.32199577667	20761.0527003813	13904.10345879	20026.9072699582	12759.2595255505
"ENSG00000104886"	294.283562665971	249.488702655211	254.889839301273	294.71390118178	238.973040508601	170.738922589905	203.723434357504	233.898522138567	242.429580806012	390.794395025699	203.200735550002	267.459568124305	382.148829682978	209.205143107661	219.73795932933	401.578144990566	222.783696923015	257.510502877173	223.657779839333	210.874826575121	268.798486688288	246.39282192905	193.377965380538	356.635942469936	265.474231362339	250.032864675214	221.158968382307	345.172871907815	445.581680281201	367.597324045967	238.548478477586	358.202207319322	214.458250221641	229.706143142223	285.068849739039	270.483988311517	230.145449199743	252.708023249016	231.480376465594	391.061476503212	286.859892480714	171.969234627339	161.76479461333	253.41285520467
"ENSG00000247049"	41.3513202809327	47.4379927583852	46.3436071456861	29.6834145075174	30.6852542287309	28.0666722065597	33.6242561560929	35.5288894387697	32.3239441074683	70.8522415910616	26.3213388018137	40.8483704044393	50.1811594533203	38.7852231604091	27.4672449161662	56.8902372069969	38.5587167751372	37.73047661204	36.968228072617	45.9932749320222	29.0180184493038	32.5808690154116	18.5730249235545	31.2690281312504	39.8211347043509	30.9958096704811	43.3645036043739	48.033765346395	43.1208077691485	47.6323293129986	33.5572783179478	40.3753933105595	24.2982253945701	40.8799068303956	47.1236261813514	32.8523062726539	37.70300874262	34.4190139192208	32.4423254894962	42.50668222861	42.6257671557688	39.0839169607589	44.6981669326308	42.7537025652051
"ENSG00000141933"	114.405319443914	140.5570155804	93.6140864342858	84.8097557357639	132.969434991167	29.2361168818331	107.795409441592	89.8091371924457	110.195264002733	148.346880831285	57.9069453639902	144.914456910987	286.611622262233	114.005049895748	63.0130912782636	298.952619048533	120.674502499966	106.588596429013	97.965804392435	94.589942784725	79.4177347033578	66.1798901875548	101.605371640622	41.4103345521964	79.6422694087018	72.3235558977892	96.8473913831016	168.676710867573	133.67450408436	74.5549502290413	79.5161594925285	139.760976844244	73.951120766083	61.3198602455934	173.368402494354	101.842149445227	109.967108832642	77.8956630803417	108.725631370203	222.451636996392	87.555629833471	93.8014007058214	78.7539131670161	118.933027135934
"ENSG00000242372"	199.175526019826	140.5570155804	202.058127155191	253.369145260595	144.12770925616	183.602814017912	218.557665014604	161.853829665507	218.186622725411	209.235525948604	220.046392383163	143.941876663262	182.389214166876	178.64708849643	222.969399907702	198.558082800891	142.810062130138	216.95024051923	174.674877643115	122.359467271984	149.671884633251	199.557822719396	154.046853777717	381.144099653889	141.86279238425	175.642921466059	169.121564057058	175.379096729861	416.834475101768	385.20057618338	180.917500496762	287.804085649629	251.433810604682	171.306276241658	125.66300315027	255.152912050945	166.521621946572	233.686989241025	226.219458818649	252.206314556419	183.175593993709	70.3510505293661	89.3963338652615	148.471948908258
"ENSG00000287299"	1059.97217653458	1185.94981895963	1052.92675434999	1973.94706474991	1204.1637644305	1344.86137656432	1104.6557095987	1087.57878226456	1179.08932482924	1257.62728824134	1290.79845484095	1259.49142080355	1178.29222485585	1162.38138501953	1210.1744966005	1808.21714730474	1246.7318423961	1222.4674422301	1048.97347156051	1455.2966426604	1249.30205744897	1209.56476219716	1505.50754968577	1064.83717419934	1289.20923605336	1215.03573908286	1193.96933257376	985.250721756287	876.789757972685	1096.57905961882	1097.90660583721	947.268843055433	1603.68287604163	1435.66339463889	1163.54632546547	1137.78487390958	1130.3047829298	1098.69115484249	944.334717626686	1048.49816163905	1135.91909231319	1707.96717118516	2028.44538508558	1352.57168115376
"ENSG00000147799"	2873.91675952482	2654.77063177481	1907.50287011644	2004.69060120412	2747.72503775454	1167.10578592278	1588.25162902015	2228.45089868728	1609.58548953325	2517.46870903241	1149.71607886322	2325.43937230987	3395.91346377373	2082.64895273469	835.32738950929	5156.93267858719	2187.13610152306	1607.3183036729	1990.73908171042	2258.87725751045	3170.60033161867	1638.20682018116	2000.42403735461	1056.38608551521	2101.39446262752	1821.5204149686	1918.1565427668	2355.88863059412	1670.21262092502	1114.18231175623	1859.51092244454	1500.10115146156	886.357004610623	2116.02184403048	3678.55170795907	1699.55931117196	2913.3429047162	1905.7264548958	1682.61682741468	2616.99473587475	1722.31140264525	2685.06509520414	2245.55076732978	2728.46356370672
"ENSG00000159409"	342.526769660393	586.825540048172	253.96296715836	220.505364912986	185.041381561135	134.486137656432	231.413998250757	352.328153601133	314.423819954464	469.396100540783	124.236719144561	243.145061931187	437.155100622194	200.977974558483	137.336224580831	441.735959489623	377.018564023563	273.54595543729	245.838716682903	192.651076130357	268.798486688288	199.557822719396	292.798275265448	169.021773682434	695.210643380126	239.700928118387	594.816441106661	395.440765874972	618.064911357795	140.8260170993	401.228327714593	97.3150505433997	102.475124490144	239.439454292317	520.686980645796	343.854138987111	362.105979798913	245.461915055495	277.074996072454	850.1336445722	226.953408910445	332.213294166451	263.932033316486	356.021741361162
"ENSG00000135976"	10446.032691635	11254.2245412532	13191.2443379481	11876.546168847	9731.87487145145	17015.4200252268	11624.1031429034	10239.2285535343	12485.858046603	7923.27332917543	13642.8763277561	13314.6235913518	7566.7398321824	9175.64355191859	14420.3035809873	5217.16940033577	10315.8848379705	13526.3758654163	10016.5413962756	12513.641972071	11335.3543647754	12037.6129490378	15415.6106865503	13697.5245392245	7836.46746702705	14805.6650859331	8576.05332949167	10113.9002661921	4514.74857342984	10687.2450182491	11222.7210792024	12193.368779789	14708.8779203739	12139.3856663975	10473.6622486774	10572.9672354158	9347.98973012334	12819.2711578614	13099.6849408939	7143.95639322172	12808.467006428	10636.6880008705	11919.5111820349	10820.5734492301
"ENSG00000248373"	55.1350937079103	54.4658435374052	34.2942692878077	32.8637803476085	67.8795017787078	50.2861210367529	42.5247945503528	50.3325933715905	33.7932142941714	36.5331870703911	36.8498743225392	37.9306296612651	30.8807135097356	25.8568154402727	33.9301260729112	32.3493505686845	52.8397229881509	33.014167035535	26.8019653526473	28.6373221274855	42.7633956095003	39.7079341125329	53.5340130149513	30.4239192628382	23.2289952442047	44.4273271943562	41.1962784241552	20.107157586863	17.2483231076594	36.2419896946728	44.4998690738004	37.2695938251318	49.6528953715128	39.9065757153862	40.1423482285586	38.3276906514295	29.8482152545742	36.2305409676008	44.7177999990353	17.002672891444	39.1696238728686	50.8090920489866	31.9272620947363	39.6443423786447
