"hB_RNA_9156"	"hB_RNA_9219"	"BM_22_268"	"hB_RNA_7805"	"BM_22_138"	"hB_RNA_9145"	"hB_RNA_7705"	"hB_RNA_9221"	"BM_22_275"	"BM_22_152"	"BM_22_124"	"BM_22_137"	"BM_22_243"	"BM_22_113"	"BM_22_234"	"BM_22_65"	"BM_22_174"	"hB_RNA_9203"	"BM_22_166"	"BM_22_267"	"BM_22_143"	"BM_22_1111"	"BM_22_222"	"BM_22_125"	"hB_RNA_7715"	"hB_RNA_9154"	"hB_RNA_9162"	"BM_22_175"	"hB_RNA_9155"	"hB_RNA_7675"	"hB_RNA_9195"	"BM_22_136"
"ENSG00000234091"	244.237788594075	316.747338838565	229.753294202366	227.070792288102	206.116931898932	279.038697922353	228.5424031734	201.704466591402	298.852814866348	179.784132072597	198.378515493792	138.730487547269	167.778744326766	257.292007060729	224.621629839679	145.753935570194	154.604639793517	308.489157965154	172.424625745968	170.941615100285	119.733278380292	217.17794791342	200.390718610972	208.292911232341	138.854060525321	185.669506678587	276.35151909425	207.396441305191	110.171878140449	253.660646470005	176.954899120738	203.260970194541
"ENSG00000272369"	126.933617728103	310.608824519988	186.466441671486	109.872964010372	175.127323256785	201.291274455438	121.609719119791	117.15768418782	200.952754823923	166.300322167152	168.038271947683	130.757471021564	206.496916094481	251.718894994431	197.248384626242	131.464334043705	124.6067246097	178.963261511836	187.203879381337	149.381411393942	198.364088062872	192.017088094183	166.004145594888	164.479574731745	74.055498946838	123.779671119058	132.525449677168	179.743582464499	50.078126427477	51.4334951367751	92.9215223693371	127.788542442982
"ENSG00000062194"	2539.54775882226	2236.8746176894	3043.3987087096	3182.6535241671	2847.44055221217	2498.56788292306	2564.28769799145	2905.99369232882	2997.54525945686	2784.40674547435	2848.8710734834	3320.76138295619	3084.54768416131	2513.47354190011	2677.74745823216	3544.7738186712	3035.94285206473	2288.9500022094	3067.51619898541	3126.22953741962	3441.88498746929	2905.41718123198	3197.9512904958	3069.80656071388	3081.53159506565	2654.86053227773	2826.18226404565	2918.14474266081	2963.51223725269	2422.05004371359	2453.93620378849	3345.65841657766
"ENSG00000066248"	3082.29840014243	3204.30447429711	3191.57293468069	1743.31769563123	3225.08136450252	2857.48407070868	3210.07724090344	2090.72114772285	2245.26058755191	2657.05965192292	2920.44293005371	3059.24644091306	2381.16756371448	3054.06541233096	2906.39456530911	3238.02370590256	2778.26845240886	3836.33952854102	2780.14182274213	2966.0680241725	3514.26107365439	3327.85477503918	3861.96787287535	571.009877343832	3556.72104664119	3743.26798522117	1317.03586423356	2273.67950467913	4196.54699462257	4128.70692779749	3441.32838061745	2483.72898600587
"ENSG00000160801"	259.995065277563	193.977052467028	116.541526044678	349.151863410737	100.896400230247	204.486374049969	159.350666432829	243.977857793192	100.476377411962	107.870479243558	98.022325302815	74.1490536890578	109.701486675193	202.489738408804	153.773230463723	112.411532008385	72.3026673661222	123.593412646296	98.5283575691246	84.7008002749158	123.307406093137	129.777066436068	123.31736529906	209.729414068426	164.567775437418	170.730580853873	599.960175282683	108.307030459377	113.510419902281	115.725364057744	173.722846168761	95.1981759138991
"ENSG00000067533"	477.970726065824	505.813579850732	687.595003663603	401.64672399347	703.392047319433	396.192349721814	698.207525291212	582.164987407518	627.333279482376	542.348798419001	606.804870922188	745.477045153431	719.512692016707	440.275853237492	577.253435824552	773.543762633973	573.806275054544	622.910799737331	760.310492575078	822.367769941909	723.760861851019	647.561076400382	569.157070611044	489.847467105023	620.214803679768	527.130668386334	453.052118663807	679.031311532551	702.206617238622	543.55852815001	632.674365349487	678.394208539587
"ENSG00000213213"	129.559830508685	169.422995192721	69.9249156268071	102.548099743014	85.7619401957096	132.064116573938	137.335113833557	90.5858382895516	68.2724102927432	131.841696853238	97.2443703400943	58.2030206376475	72.5965720644659	104.9602772486	84.535021982675	105.743051296023	88.4553909266388	124.582159947466	87.8544521658028	75.4607129721977	104.543235600703	71.5098121178336	86.5593044887629	65.3608790418725	106.969054034322	125.913803379732	131.498120609903	73.7409569085123	125.751739695665	86.5017872754854	144.634369600968	81.4759163227064
"ENSG00000236212"	185.585703161089	208.709486831613	279.699662507228	152.601338903294	270.978903475519	287.558963507768	116.367920881869	161.846697743999	322.039671192185	161.805718865337	178.929641425773	239.987797423725	269.413945217018	495.078121889416	123.984698907923	156.23297668962	143.836157419839	282.781728134725	234.004849226671	146.301382293036	143.858640441993	311.200108290572	170.747121183313	81.1624102388088	75.0840475433219	171.79764698421	100.678248591957	196.642551756033	64.5451407287481	167.158859194519	119.585959223147	280.448680395
"ENSG00000146411"	509.485279432801	548.78318008077	474.490498896191	849.684255013541	647.178338619725	503.760702737683	535.711779915629	550.761896800474	532.00953680949	439.72202302756	439.544553937226	523.827185738828	572.706290730787	762.58750107169	529.752804424763	575.39462146665	578.421338928977	484.48617757348	481.967882442301	666.826300346155	718.399670281752	685.964494019218	401.96718111905	1198.76161671303	647.985615784833	664.78219919977	631.807376367894	583.014440557925	412.866331213199	476.92877308646	492.888075176484	730.710323231009
"ENSG00000286736"	436.826725836714	1057.05216565893	597.691540714851	356.476727678095	984.460590817977	868.00205651419	2943.793890417	526.605673256593	1554.80753251587	1964.14164289312	837.079539887531	471.205276669174	285.546516786899	497.864677922565	1612.60618125046	449.646128033541	324.592825835144	1691.7466323025	809.57467135964	800.807566235567	372.602814064043	468.786546105798	512.24136354994	183.154111600852	766.268704380477	823.775052619939	299.980087641342	713.597385083416	547.520848940415	1157.25364057744	210.891455116496	270.156985701606
