"hB_RNA_12282_resequenced"	"BM_36_369"	"BM_36_322"	"BM_36_416"	"BM_36_472"	"hB_RNA_12352"	"hB_RNA_11042"	"hB_RNA_12262_resequenced"	"BM_36_448"	"BM_36_350"	"BM_36_412"	"BM_36_487"	"BM_36_510"	"BM_36_286"	"BM_36_521"	"BM_36_458"	"hB_RNA_10952"	"BM_36_419"	"BM_36_341"	"BM_36_400"	"BM_36_528"	"BM_36_450"	"BM_36_344"	"BM_36_367"	"hB_RNA_10972"	"BM_36_351"	"BM_36_430"	"hB_RNA_12382"	"BM_36_428"	"BM_36_417"	"BM_36_358"	"BM_36_531"	"BM_36_527"	"hB_RNA_11072"	"BM_36_354"	"BM_36_370"	"BM_36_482"	"BM_36_435"	"BM_36_538"	"hB_RNA_10842"	"BM_36_413"	"BM_36_499"	"BM_36_467"	"BM_36_414"
"ENSG00000230753"	56.9991061827601	43.4650498732535	45.9565522018265	29.7483086566272	50.827832159345	44.0067504894947	30.3986957917293	33.2579178776297	24.7583855544662	37.3278720168445	35.9729422805652	35.2000220308538	73.7320617762113	44.2969079515541	25.9896593583506	34.9677172030464	65.9007426997593	17.7742938491075	55.9854778557805	29.6444884466404	32.9089478257326	32.5680302635505	33.3399589989108	32.1331740337191	36.7624968582057	39.2896918730531	29.7848497403919	40.3915157237011	25.6602741736282	34.8602115484817	35.4448232660324	35.7336806790622	42.9407968703122	42.7565473223367	38.8966049456362	28.824370732321	54.217490277993	53.1382651553589	29.1215882219513	26.4150357768873	24.0737341499041	49.7761266083063	42.4083384285228	27.3672175224889
"ENSG00000287844"	90.6139636751571	92.8571520019507	125.254132471645	268.92471025591	160.705645797929	73.8684740359376	93.9596051744359	67.9015823334939	131.801993687011	101.895001991927	134.425205364217	60.9231150534008	74.5423042133125	158.337883741725	169.799107807891	111.896695049749	78.4994140982427	208.614080439525	156.373231252352	192.689174903162	166.19018651995	134.243832061952	120.536774842216	136.09344296634	84.3374927923542	164.763223983771	173.879122808774	128.942146348738	224.527399019247	294.375119742734	85.0675758384778	98.8378401761296	92.2431932769669	96.2022314752575	120.39425340316	107.858935643524	120.587176652778	148.961366255186	118.150443643345	172.898415994171	241.831602142219	86.3762197026491	88.7433748596867	177.339569545728
"ENSG00000235244"	5455.83752257035	8431.2318333686	7604.45772610223	7227.64907121414	8503.94480113042	7537.72769098631	5839.31310981127	6321.77588990611	7573.15322842494	8896.13987687932	6410.75697694705	8747.88239816776	7108.25690068903	7630.378016506	7360.2715302849	7710.77017346289	5816.70967182287	7756.14054226055	7449.92962225714	7042.54230530687	7513.11278861475	7311.12562306632	5793.45902911843	7646.75032667121	3049.12473941588	8406.7266514181	7039.68948593858	7304.65026664779	6501.21374956138	7395.20654432652	7647.22061964649	8007.38563642305	9433.45691245395	2593.18459509972	8517.43037345277	8206.57729301499	6492.0770686321	7718.98635314156	7452.63044868623	10592.4293465318	9160.05584403851	6304.7320364315	8234.28571153819	9284.05487232912
"ENSG00000233885"	146.15155431477	134.346517790056	142.375200938992	104.714046471328	137.534134078228	100.586858261702	154.756996757894	145.50339071463	143.452998653819	153.346933690821	107.918826841696	119.138536104428	144.223153804018	143.258085290132	127.349330855918	161.628559516304	158.937085334714	116.000654594175	127.41522546488	149.21059184809	146.44481782451	137.421200868152	176.958243917296	173.897177123656	166.51248576952	134.345398017536	136.044313679087	124.281586842157	132.883562684861	110.390669903525	160.387825278797	142.174431637971	133.593590263193	163.543793507938	132.433678743476	132.964032732964	136.47851001012	131.538984237036	107.333853732335	86.4492079970857	120.368670749521	122.976312796992	142.931807296133	132.457332808846
"ENSG00000227598"	330.302512751379	552.203701798834	492.005441219554	336.75085399302	461.187830034057	342.623985953923	384.128974095488	317.335966415717	417.979803184223	391.438225473937	457.2350295135	534.769565468741	267.380004243403	462.761314983257	457.418004706971	354.339534324204	282.985542181319	252.582070487317	387.072010692551	292.492286006852	348.834846952766	395.582416371907	287.23656983677	529.252278202432	170.837485399897	423.314744696765	268.063647663527	343.327883651459	230.942467562654	305.995190258895	409.387708722674	420.44096628769	627.412754271783	115.442677770309	453.793724365756	513.259762717457	200.978627754629	337.994211152119	295.376109108364	353.000932654767	438.798517914161	406.993035209092	332.983990623957	396.277309725639
"ENSG00000146540"	1993.50720085346	1275.30407696296	975.900902638786	708.009746027727	1195.2015238646	2187.76416719202	2183.17906140601	2420.89927217579	956.110595088649	1131.94249737566	694.845779840392	1517.66248833027	1953.49451585105	1299.69012904666	808.278406044705	1264.2772419857	2145.65065201863	815.746538759039	1129.36222571143	989.137764502901	1236.5537145519	1074.74499869717	1083.5486674646	957.379567534042	1705.13110427619	1107.71582893704	891.130504394969	1511.57479996774	834.875349006262	902.492143421804	1373.48690155876	1281.85075797657	1971.30065632415	1495.41024259872	1020.57282500217	1060.92280663156	1012.37141329425	996.560251438206	1044.2169491014	787.648339529003	787.867663087771	1062.13470159783	1437.17146896661	970.988877697905
"ENSG00000163364"	27.7687953198062	81.0030474910633	46.857661068529	114.233505241448	65.029726439162	47.1500898101729	40.0710080890977	36.0294110340988	88.838912871908	195.719112736968	40.706224159587	54.1538800474674	109.382729008665	147.970522306255	90.0974857756155	244.774020421325	40.7033999027925	49.5809249475104	74.3255481878465	64.2297249677208	101.195014564128	47.6605320930008	88.4791219586479	124.752322719145	111.368740482211	81.1142025766257	86.1345654654577	62.1407934210786	72.3986307041654	96.8339209680047	90.3842993283826	52.4600844011765	63.6159953634254	42.7565473223367	64.8276749093937	55.7891046432019	78.5218824715761	81.0140763843996	49.9227226662023	122.469711329205	79.8810269519546	84.1802141169886	87.9580352591585	100.711360482759
"ENSG00000224490"	150.536100944213	241.033458388042	300.069252611926	342.700515724345	234.704989676976	136.735260449502	163.047550155639	121.945698884642	254.865733648916	272.392579582379	391.915739583	215.938596689276	178.253336162269	239.391800419037	275.490389198517	242.442839274455	168.628371025855	471.486531576326	294.406392172639	341.899766751252	259.157964127644	251.806477891354	289.801182067456	256.12029891582	166.51248576952	277.562661941891	312.338424304651	205.064618289559	353.745208250732	359.253846791297	254.316606933782	253.937220144825	176.534387133506	148.57900194512	274.128453902579	304.05062030545	252.391765087209	242.171110052291	266.254520886412	271.354458435297	372.048618680336	222.528566013605	227.748484153178	366.720714801351
"ENSG00000255062"	134.459429969588	87.9179417890809	94.6164310037604	78.5355348534958	128.564516638343	171.311992976962	122.976542066541	131.645924932284	109.228171563821	94.8329721509022	71.9458845611305	113.046224599088	170.150911791257	98.0186899353538	80.567944010887	115.004936578908	122.110199708377	80.4520668959603	103.283553975319	76.087520346377	139.04030456372	100.087117395302	65.3976118824789	86.0034952078952	76.7687434391942	79.8467931613659	77.2796101372331	147.584384375062	80.6465759742602	67.7837446776033	97.4732639815891	115.564243898244	157.449588524478	67.3415620326803	96.3154027225277	80.8942017326427	123.391529598191	109.761006714348	84.0365831547739	91.2519417747016	72.2212024497123	117.852299763784	162.565297309338	86.4804073710648
"ENSG00000134283"	2648.26616418362	3501.90004092463	3610.74322887684	3908.92775748081	3251.4863219581	2656.12172597308	2603.23376689172	2533.14474501279	3779.29473610822	3453.33259226105	4354.6193287	2893.84796503654	3687.41333124766	3514.53552662437	4276.16528642729	3468.79754654221	2703.86870782836	3301.34121018423	3690.2152041836	3902.20282919276	3514.67562778824	3779.48019497496	3725.09926507061	3121.64334804042	2331.17480077328	3626.05833705822	3380.17794756502	2894.20745358674	3702.41098790922	3522.81804481601	3547.14068834819	3386.33646264986	3795.48932337037	2411.46926897979	3601.6403960376	3431.95975396763	3350.26698545391	3779.78577883774	3254.96151783639	4519.37248473654	4420.81299843694	3662.20531501995	2981.93446320558	3879.57675598802
