"Node.1" "Node.2" "CN"
"ENSG00000172465" "ENSG00000131100" 0.52
"ENSG00000224746" "ENSG00000165169" 0.53
"ENSG00000198961" "ENSG00000255330" 0.51
"ENSG00000061676" "ENSG00000065559" 0.55
"ENSG00000169764" "ENSG00000167005" 0.52
"ENSG00000237633" "ENSG00000126953" 0.53
"ENSG00000169567" "ENSG00000176171" 0.52
"ENSG00000031698" "ENSG00000198689" 0.53
"ENSG00000055813" "ENSG00000183401" -0.52
"ENSG00000111817" "ENSG00000104093" 0.54
"ENSG00000254317" "ENSG00000276649" -0.52
"ENSG00000009844" "ENSG00000131263" 0.53
"ENSG00000066557" "ENSG00000103769" 0.55
"ENSG00000172915" "ENSG00000101400" -0.52
"ENSG00000165028" "ENSG00000148481" 0.53
"ENSG00000158560" "ENSG00000100427" -0.51
"ENSG00000187601" "ENSG00000165832" 0.52
"ENSG00000167005" "ENSG00000073969" 0.53
"ENSG00000116752" "ENSG00000135070" 0.51
"ENSG00000136261" "ENSG00000104723" 0.54
"ENSG00000157214" "ENSG00000004897" 0.53
"ENSG00000157077" "ENSG00000152932" 0.51
"ENSG00000151500" "ENSG00000111726" 0.54
"ENSG00000143155" "ENSG00000100325" -0.52
"ENSG00000109180" "ENSG00000178127" 0.53
"ENSG00000127054" "ENSG00000091844" -0.52
"ENSG00000285982" "ENSG00000185875" 0.51
"ENSG00000119801" "ENSG00000139278" 0.54
"ENSG00000075945" "ENSG00000072041" 0.55
"ENSG00000178567" "ENSG00000171204" 0.53
"ENSG00000138079" "ENSG00000013561" 0.55
"ENSG00000144635" "ENSG00000111052" 0.54
"ENSG00000233912" "ENSG00000177432" 0.54
"ENSG00000135968" "ENSG00000104093" 0.55
"ENSG00000087470" "ENSG00000138621" -0.53
"ENSG00000109738" "ENSG00000147654" 0.51
"ENSG00000143727" "ENSG00000108946" 0.53
"ENSG00000165169" "ENSG00000148925" 0.54
"ENSG00000143951" "ENSG00000138698" 0.53
"ENSG00000254317" "ENSG00000173821" -0.52
"ENSG00000108061" "ENSG00000285508" 0.52
"ENSG00000117598" "ENSG00000093010" -0.52
"ENSG00000109158" "ENSG00000170419" 0.54
"ENSG00000143951" "ENSG00000185658" 0.55
"ENSG00000198919" "ENSG00000082701" 0.55
"ENSG00000162852" "ENSG00000122126" 0.52
"ENSG00000140497" "ENSG00000160410" 0.54
"ENSG00000178662" "ENSG00000232767" 0.55
"ENSG00000255054" "ENSG00000082701" -0.54
"ENSG00000163138" "ENSG00000198276" -0.52
"ENSG00000237633" "ENSG00000288698" 0.53
"ENSG00000108839" "ENSG00000268746" 0.54
"ENSG00000213585" "ENSG00000240694" 0.53
"ENSG00000163376" "ENSG00000166006" 0.53
"ENSG00000061918" "ENSG00000196937" 0.56
"ENSG00000116750" "ENSG00000248508" -0.51
"ENSG00000172115" "ENSG00000177889" 0.53
"ENSG00000258302" "ENSG00000100030" 0.53
"ENSG00000149100" "ENSG00000166479" 0.54
"ENSG00000163328" "ENSG00000258903" 0.54
"ENSG00000138078" "ENSG00000067992" 0.55
"ENSG00000144867" "ENSG00000139131" 0.55
"ENSG00000136531" "ENSG00000163536" 0.55
"ENSG00000178662" "ENSG00000155158" 0.56
"ENSG00000198513" "ENSG00000103657" 0.53
"ENSG00000169919" "ENSG00000275854" -0.52
"ENSG00000198689" "ENSG00000122873" 0.56
"ENSG00000143951" "ENSG00000144357" 0.55
"ENSG00000134108" "ENSG00000166479" 0.54
"ENSG00000142875" "ENSG00000197417" -0.53
"ENSG00000096092" "ENSG00000257647" 0.52
"ENSG00000113387" "ENSG00000175893" 0.52
"ENSG00000065029" "ENSG00000104643" -0.54
"ENSG00000014641" "ENSG00000175874" 0.55
"ENSG00000079785" "ENSG00000258302" 0.55
"ENSG00000148400" "ENSG00000255410" 0.53
"ENSG00000147416" "ENSG00000176401" 0.52
"ENSG00000136531" "ENSG00000196368" 0.54
"ENSG00000214021" "ENSG00000155970" -0.54
"ENSG00000145864" "ENSG00000204271" 0.54
"ENSG00000069329" "ENSG00000269699" 0.53
"ENSG00000287022" "ENSG00000081307" 0.54
"ENSG00000145545" "ENSG00000022355" 0.53
"ENSG00000047249" "ENSG00000184613" 0.54
"ENSG00000089818" "ENSG00000197170" 0.54
"ENSG00000285651" "ENSG00000108061" -0.51
"ENSG00000178965" "ENSG00000157214" 0.54
"ENSG00000169255" "ENSG00000164465" 0.52
"ENSG00000169871" "ENSG00000110090" 0.51
