sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32
ENSG00000066294	43.7702130096908	66.2959546406299	48.2814893613668	81.7943176521656	51.8895772612697	66.0320582869691	17.8221140089348	164.262320098387	85.0184731947368	131.841696853238	80.1293611602377	60.5949255953591	101.635200890252	63.1619367513702	77.2891629555886	87.6428893624699	61.5341849924444	73.1673002866071	60.7591538342935	55.4405238163085	65.2278307594128	54.2944869783551	74.7018655176995	124.257495321362	123.425831578063	80.0299597752531	73.9676928430706	50.6969078746022	159.137157313982	16.3652029980648	46.0567545656714	69.4689391804129
ENSG00000287722	1203.6808577665	1600.92453428484	1763.10680116164	1045.01396880976	1668.39404666443	856.286691334244	661.514937625758	600.282155065429	1097.51119942297	975.328916493839	988.002802655358	1506.90012335827	1356.74926902702	1918.07940281734	1083.65847227315	863.091932199975	973.778477505432	1604.73686979951	1266.91046440966	1681.69588909469	684.445457009729	1953.27727544082	569.157070611044	562.390860327321	749.811926836735	414.021658570643	965.689323228977	1914.19233975013	357.223968516003	1070.75185330195	697.315424389025	1843.92863256651
ENSG00000157978	477.09532180563	359.716939068603	303.007967716164	512.740498715068	236.385851968006	421.75314647806	211.768648812049	347.849619031878	179.054057182855	476.427949992382	422.429544757369	325.29907424877	312.971888455698	283.299863370116	345.385946957786	224.823064016771	336.130485521228	342.106566204947	207.730620541571	167.861585999378	239.466556760584	262.202644432056	493.269461196238	686.648355648683	330.164099471319	736.275629932329	733.512954027116	299.572637440831	267.083340946544	285.222109394844	521.168538506282	243.57010774367
ENSG00000237491	182.959490380508	249.22368133422	289.688936168201	186.784038817632	300.52713497152	222.591938418976	232.735841763737	175.132620693133	267.937006431898	242.708578298006	315.849714864626	200.92001644777	235.535544920267	360.39458028723	234.282775209128	167.664657910812	239.214144158128	248.175572593762	320.217162099655	175.561658751644	156.368087436949	262.202644432056	173.118608977526	206.856408396256	129.597123156967	166.462316332527	149.990043820671	255.020809308605	90.1406275694586	222.099183545165	192.307150642628	282.163962843899
ENSG00000182606	4018.10555428962	4030.54850157756	2871.91617752958	4591.46908492231	2689.60975470915	4026.89052230694	2992.01843420588	3102.86691421144	2854.55964544753	2364.91043730495	2505.01497996083	2511.50020559712	2918.38219699153	3565.86287041927	2833.13087959079	2443.52186102973	2510.59474769173	3416.12192554362	2622.49645063153	2445.54310611939	2269.57109765628	2996.79083004921	2793.61262158254	3079.86208056648	2898.44994489152	3528.7876930235	4614.76217015379	2709.98016638783	2336.97923328226	3742.95571427168	3401.73573195573	2843.08065905023
ENSG00000255692	69.1569365553115	54.0189260034762	33.2975788699081	53.7156712939595	67.0240372958067	68.1621246833229	61.8532192074797	71.2608594544473	46.3737126516746	35.9568264145194	41.2316130242	24.7163512296859	48.3977147096439	65.0196407734693	29.7885315557998	24.7686426459154	43.8431068071166	61.3023326725627	41.0534823204686	33.8803201099663	19.657702420645	58.2672543182348	49.8012436784663	28.7300567217022	62.7414643855155	57.6215710381823	35.9565173542704	56.8419876169782	46.7395846656452	94.6843887745178	62.2170193255561	47.1702673447248
ENSG00000138640	2882.70622881824	3298.8375948032	3825.89181215244	2885.9965213391	3656.77381977337	2660.45292904595	2327.35841763737	2294.84123666864	2738.62536381834	2391.12895656554	3269.74470831533	3119.84136650842	3926.66792010911	4146.39537732524	3106.86333172517	2894.12062916504	3486.68075713438	3156.08138533581	4004.35666553851	3508.15314593196	2560.86250625311	4098.57163897583	2549.34937877863	2516.75296882111	2229.89335717701	2796.78032761251	2541.61211241329	3510.3768028323	1661.48095013829	2469.9767096365	2773.10143279622	3847.37853288064
ENSG00000231711	29.7637448465897	34.3756801840303	91.5683418922474	41.507564181696	43.9620029574646	46.8614607197845	34.5958683702853	57.974936505313	39.9329192278309	74.9100550302488	54.4568473904528	46.2434958490898	35.4916574537389	39.9406364751311	55.5515858743293	47.6320050882989	44.6122841195222	63.2798272749035	42.6956216132873	53.9005092658555	39.3154048412899	21.1880924793581	49.8012436784663	66.0791304599151	51.4274298241931	42.6826452134684	81.1589963139246	56.8419876169782	44.5138901577573	35.0682921387103	14.5442382838962	37.7362138757798
ENSG00000177106	202.218384104771	160.829075146713	89.903462948752	268.578356469798	117.47223741093	209.811540040853	192.89817515553	170.301375984357	176.477739813317	183.529634824109	134.58620855069	113.216834665013	96.7954294192879	153.260581823178	126.399985250285	112.411532008385	129.990965796539	134.46963295917	104.27584509399	135.521280439865	122.413874164925	144.343880015627	148.217987138293	231.995208027745	129.597123156967	160.059919550506	317.444681784844	135.191754332273	176.942713377085	180.017232978713	197.155230070593	101.201664485046
ENSG00000137871	1454.92188044212	1556.72723119109	3514.5594497188	1479.62258200634	2632.67535743636	1620.98052762527	1558.91079595801	1465.07495793635	2851.98332807799	2353.67392905042	2522.90794410341	3123.82787477127	2879.66402522381	1761.10341294997	2666.47612196781	2595.94427731229	2288.30250440653	2065.4931121449	3336.00597336128	3019.96853343836	2511.7182502015	2363.79656722839	2426.03201347957	2577.80433935473	1270.25751665757	1446.94167273658	1477.29919872688	2640.8480192861	1227.47052110016	1675.09542115906	1579.66588027873	2276.17980968908
