sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42
ENSG00000163738	1091.65699554279	943.616647944644	850.712464569901	1119.04863382264	932.489328665592	859.586524961868	1055.10341580835	1063.78360764192	1091.48021125406	841.731034875572	1203.93754828323	1547.74625120145	1381.69942321502	928.77580096945	1062.10194140651	814.002582566368	966.721095127428	1270.4024944776	1068.15584251867	1042.36109408835	1035.50727937706	922.117699547813	1073.97869210379	1119.2238408356	897.510539086858	1180.33910013908	1011.24337821586	919.369111089433	1019.59905927505	963.572194301064	969.488173545433	1056.0301803258	936.587758746082	1369.71788216752	1188.74516539673	1057.68344195436	1146.27792204716	1076.46728286324	994.992827308905	1160.81500944039	963.187770706277	948.459852715948
ENSG00000008988	10106.3225939502	10427.4061737906	8741.65690410174	7554.45527566475	9395.22962458955	11279.4727452644	7304.43621212926	8439.77173165697	8877.85910959827	9496.75246292486	11614.2711174838	12565.4313109394	9089.96114585316	9278.76018169803	9090.40147607557	7845.03958124687	10443.2793942304	10207.2626005786	9422.10400795435	10018.6717589936	8139.79525506907	10442.6640702249	8887.73248668647	8063.75188705413	10785.780722631	8643.32177141234	7748.8289999415	9085.53003900146	12019.7804593411	9507.7402656155	9758.8581123888	9544.16886705309	6770.64466237921	9747.26967364927	12046.9302639764	11201.2833337454	9145.48356511009	10332.163652482	9676.32804559806	9741.85660279521	9431.84394665431	11366.5508428891
ENSG00000264522	3328.06714399914	3626.83514794008	4512.61386281252	3773.71964838465	2561.94782412809	2589.57721750371	2537.92197018637	3495.93457464651	2156.19056225441	1800.36915792831	3054.45358805945	5140.25209720137	2606.99199146482	4109.00811839014	1595.13814938343	1985.17769891308	2904.64923013926	2046.46426934677	3875.31094566942	4732.54803869912	2462.2061976299	3354.58766043798	2876.00636874573	2907.08935994377	2411.62473341847	3647.50278467375	1847.89084382559	1646.21151420955	3883.09275532357	2224.84089906473	3640.91201553991	4780.18856123861	2641.14408972603	3095.58393322541	3844.27386232447	3305.1452884827	3462.54275193923	2641.91021765207	1895.13757575427	4074.57793717713	5146.24670160082	3089.58433750162
ENSG00000136869	1421.91509438891	738.837548426736	1480.75139509723	1242.70526185477	2317.90204554019	582.488448667287	1149.48443490599	2691.54425111099	744.688839785382	251.739929874824	1167.20013399385	1001.80989391703	1543.17208724794	1220.70533152174	244.184184659816	1510.01066736601	880.366658555721	947.676218235535	1001.50430291256	767.955248478254	1656.81164700329	936.373384081099	794.041728750671	603.001313849799	1067.09828629804	986.115576037414	1061.70462463382	1211.40400520019	363.800603309408	1849.24249801378	1070.37399871133	958.780647781035	937.422507194163	814.514090181312	2088.9599508428	1188.85466357664	1551.39233154764	410.883717342887	849.072705980377	1252.66400850386	2181.88084882504	742.855183647126
ENSG00000138741	155.040779522615	127.221566810129	113.001906321315	129.795609565635	127.884250788424	111.504931602024	134.206535826708	157.262827297956	209.291634710924	211.991519894588	117.559725725999	156.77602113463	150.074593630595	74.981899970623	215.398244191789	115.602717406585	103.176729410352	167.058307701777	174.852090914725	242.010711058904	140.722784120472	102.790988476851	235.232201144636	165.769733881218	129.58243248444	166.477306372856	154.411414038949	133.038118428236	190.516631733085	170.642236526849	161.581362257572	230.655942574111	375.636801636129	186.143907003127	251.808331593306	135.789926608987	127.822358213892	94.9117358774505	136.800113745496	312.677443620308	220.205232046287	170.943345547642
ENSG00000198626	3447.00253650964	6005.26615097864	4550.99186873297	6381.90980276438	4926.74076162404	4724.81344504694	6475.73813115052	4289.47918595459	7119.56601566057	6203.09009868026	3782.90403139734	3677.00923327816	5199.41978186	5501.67194051118	6878.84715322163	6783.08910134638	6357.70520681832	6876.72742976042	3651.11940335797	4679.19134649715	6022.75815056486	4377.24545090475	7331.58100219119	8690.11672044424	2850.81351465767	3883.72058425686	7800.29947128782	6906.08444036004	5079.80526620978	3539.89900447273	3179.95401762745	4720.34269505722	9766.55684253936	6307.37331128514	2034.40147899759	3616.44600458629	6171.55208569817	7230.11172798098	5263.15637616837	3604.58465473536	1505.2960709729	5144.84327083709
ENSG00000197798	1147.9389223558	859.936152128356	944.525367930993	1033.97988971543	1342.78463327845	1023.51541694395	1087.8367172295	1273.46737737253	799.445372122542	914.992810133261	809.272754774514	1410.98419021167	768.736526023388	1187.71329553467	792.109672189158	1080.28746266154	1038.49621123898	753.281096546194	1056.0373807721	689.825806325379	1140.82810522823	1260.50263241686	894.095244169657	764.320853532863	1072.31637082761	905.876513956803	931.514608875489	1088.10038324232	763.023896941047	981.19286002938	1079.39630827901	1022.36688059876	954.117476155768	880.148646985882	1506.65318403328	1122.34531176816	1086.49004481808	631.943962930873	1093.48890920566	1068.96601037693	1139.68814753727	773.577720404536
ENSG00000106683	3553.19485125116	3641.80239109422	2621.43101551051	2551.18532585428	3163.00380283369	5278.17747128086	3334.97785979134	2484.57190943725	4124.99210273275	6331.68789567514	3567.72774770243	1671.16567209467	3681.57673995056	2341.43479641599	6654.51534129839	4073.20195331202	3933.05206567505	4022.30843589233	2176.1294879189	3481.52416617809	3170.24536301592	3399.60561159572	3694.52927680105	3559.04280997326	3800.50489904028	3106.07659007374	4540.50295268778	4584.94783753895	4530.27488121083	3683.64654067741	3781.16791881933	2934.94102064572	4601.96819426662	2403.73114592477	2021.81106241792	2207.74098364272	2629.63577260999	6444.38672464107	5151.89228365537	1836.97998126931	1788.5371518874	3318.03396980031
ENSG00000262052	59.4676962552495	131.98387145008	38.3780059204467	35.9568918391287	68.2049337538262	38.2778123409932	96.0176841687019	56.0361798418004	147.234231395476	91.187528778187	93.4179963358388	20.0139601448463	235.560121648023	27.9932426556993	131.025660061364	62.9835494835877	35.8875580557746	208.822884627221	39.817802881571	53.3566922019631	50.4477905337542	133.553255101311	104.311111819793	169.107379529833	81.7499909633378	85.488346515791	86.7933438388863	114.650736206447	109.140180992822	159.513395014228	93.5039355196103	52.3651329087171	161.941198927576	81.7742019204487	39.8696525022735	36.949639893602	26.8014622061387	188.622057376705	154.128128153258	44.9473825204192	60.5144149134834	88.2288235084603
ENSG00000105835	2724.89479626733	2767.57932504601	3022.26796623517	2209.15635470159	2852.88449467176	2487.22567580932	2056.74243929549	2907.55468630761	2762.16285345231	2212.66148889977	3604.4651619918	2268.24881641592	3581.52701086349	1944.53060590482	3187.29844285637	2310.45982789161	1180.92495727283	6651.95807030712	2039.36399106481	14581.6217403365	2941.01768322219	2101.58801988074	2542.84945038251	6403.82945114288	6118.2041109264	3492.27394494771	3209.33527218207	2057.22358740247	5395.73736908374	2366.73362835064	2551.67318773252	6459.61318095389	1883.19249886913	1786.12072615717	3335.41119222967	2098.73954595659	2404.91582026621	2802.89974433028	2261.7618805922	2489.6941448267	4361.24026369535	4154.63227842518
