Node.1	Node.2	weight
ENSG00000081307	ENSG00000114120	0.55
ENSG00000081307	ENSG00000120137	0.54
ENSG00000081307	ENSG00000147894	0.54
ENSG00000081307	ENSG00000144320	0.55
ENSG00000081307	ENSG00000006715	0.55
ENSG00000081307	ENSG00000066557	0.55
ENSG00000081307	ENSG00000025156	0.54
ENSG00000081307	ENSG00000174953	0.55
ENSG00000081307	ENSG00000066739	0.54
ENSG00000081307	ENSG00000145362	0.54
ENSG00000081307	ENSG00000004487	0.54
ENSG00000081307	ENSG00000047932	0.55
ENSG00000081307	ENSG00000163743	0.55
ENSG00000081307	ENSG00000081019	0.54
ENSG00000081307	ENSG00000164713	-0.55
ENSG00000081307	ENSG00000180773	0.55
ENSG00000081307	ENSG00000196455	0.53
ENSG00000081307	ENSG00000109184	0.55
ENSG00000081307	ENSG00000058804	0.54
ENSG00000081307	ENSG00000250571	-0.54
ENSG00000081307	ENSG00000162572	-0.53
ENSG00000081307	ENSG00000288656	-0.54
ENSG00000081307	ENSG00000234661	0.54
ENSG00000081307	ENSG00000196911	0.55
ENSG00000081307	ENSG00000083750	0.55
ENSG00000081307	ENSG00000008869	0.55
ENSG00000081307	ENSG00000111912	0.54
ENSG00000081307	ENSG00000153989	0.55
ENSG00000081307	ENSG00000184428	-0.54
ENSG00000081307	ENSG00000107771	0.55
ENSG00000081307	ENSG00000274349	0.54
ENSG00000081307	ENSG00000198498	0.53
ENSG00000081307	ENSG00000040487	-0.52
ENSG00000081307	ENSG00000181513	-0.53
ENSG00000081307	ENSG00000188807	-0.53
ENSG00000081307	ENSG00000168071	-0.54
ENSG00000081307	ENSG00000197121	0.54
ENSG00000081307	ENSG00000049883	0.54
ENSG00000081307	ENSG00000183735	0.55
ENSG00000081307	ENSG00000171109	0.52
ENSG00000081307	ENSG00000197147	0.52
ENSG00000081307	ENSG00000113569	0.52
ENSG00000081307	ENSG00000162139	0.52
ENSG00000081307	ENSG00000113851	0.55
ENSG00000081307	ENSG00000087301	0.53
ENSG00000081307	ENSG00000198324	-0.54
