Node.1	Node.2	weight
ENSG00000075303	ENSG00000133302	0.55
ENSG00000075303	ENSG00000178662	0.56
ENSG00000075303	ENSG00000025156	0.54
ENSG00000075303	ENSG00000108061	0.55
ENSG00000075303	ENSG00000140497	-0.54
ENSG00000075303	ENSG00000163558	0.51
ENSG00000075303	ENSG00000157680	0.52
ENSG00000075303	ENSG00000138641	0.54
ENSG00000075303	ENSG00000077254	0.55
ENSG00000075303	ENSG00000175893	0.54
ENSG00000075303	ENSG00000155158	0.52
ENSG00000075303	ENSG00000234497	0.52
ENSG00000075303	ENSG00000164830	0.53
ENSG00000075303	ENSG00000276418	0.54
ENSG00000075303	ENSG00000122417	0.53
ENSG00000075303	ENSG00000152580	0.51
ENSG00000075303	ENSG00000166479	0.55
ENSG00000075303	ENSG00000248256	0.53
ENSG00000075303	ENSG00000176406	0.52
ENSG00000075303	ENSG00000118596	0.52
ENSG00000075303	ENSG00000168056	-0.52
ENSG00000075303	ENSG00000081189	0.52
ENSG00000075303	ENSG00000285542	0.53
ENSG00000075303	ENSG00000121989	0.52
ENSG00000075303	ENSG00000197930	0.54
ENSG00000075303	ENSG00000142327	-0.52
ENSG00000075303	ENSG00000040731	0.51
ENSG00000075303	ENSG00000147650	0.52
ENSG00000075303	ENSG00000122584	0.52
ENSG00000075303	ENSG00000111052	0.53
ENSG00000075303	ENSG00000091073	-0.52
ENSG00000075303	ENSG00000091157	0.55
ENSG00000075303	ENSG00000077264	0.53
ENSG00000075303	ENSG00000128654	0.51
ENSG00000075303	ENSG00000146151	0.53
ENSG00000075303	ENSG00000085514	-0.52
ENSG00000075303	ENSG00000244694	0.52
ENSG00000075303	ENSG00000240291	0.51
ENSG00000075303	ENSG00000145526	0.51
ENSG00000075303	ENSG00000129566	-0.51
ENSG00000075303	ENSG00000142611	-0.51
ENSG00000075303	ENSG00000129682	0.53
ENSG00000075303	ENSG00000197724	-0.52
ENSG00000075303	ENSG00000133997	0.52
ENSG00000075303	ENSG00000127995	0.54
ENSG00000075303	ENSG00000159792	-0.53
ENSG00000075303	ENSG00000168010	-0.52
ENSG00000075303	ENSG00000135823	0.52
ENSG00000075303	ENSG00000111731	0.54
ENSG00000075303	ENSG00000132485	0.52
ENSG00000075303	ENSG00000171714	0.53
