"hgnc_symbol","gene_biotype","ensembl_gene_id","kegg"
"UBL4A","protein_coding","ENSG00000102178","No_kegg"
"USP11","protein_coding","ENSG00000102226","No_kegg"
"PORCN","protein_coding","ENSG00000102312","No_kegg"
"MAGED2","protein_coding","ENSG00000102316","No_kegg"
"BEX4","protein_coding","ENSG00000102409","No_kegg"
"POLR2C","protein_coding","ENSG00000102978","No_kegg"
"NDRG4","protein_coding","ENSG00000103034","No_kegg"
"UBFD1","protein_coding","ENSG00000103353","No_kegg"
"HMOX2","protein_coding","ENSG00000103415","No_kegg"
"DNAJA3","protein_coding","ENSG00000103423","No_kegg"
"TJP1","protein_coding","ENSG00000104067","No_kegg"
"VPS18","protein_coding","ENSG00000104142","No_kegg"
"ERI1","protein_coding","ENSG00000104626","No_kegg"
"MCM4","protein_coding","ENSG00000104738","No_kegg"
"SLC17A7","protein_coding","ENSG00000104888","No_kegg"
"OAZ1","protein_coding","ENSG00000104904","No_kegg"
"PLD3","protein_coding","ENSG00000105223","No_kegg"
"ICAM5","protein_coding","ENSG00000105376","No_kegg"
"BABAM1","protein_coding","ENSG00000105393","No_kegg"
"NAPA","protein_coding","ENSG00000105402","No_kegg"
"ATP1A3","protein_coding","ENSG00000105409","No_kegg"
"PPP2R1A","protein_coding","ENSG00000105568","No_kegg"
"TNPO2","protein_coding","ENSG00000105576","No_kegg"
"RAB3A","protein_coding","ENSG00000105649","No_kegg"
"TMEM59L","protein_coding","ENSG00000105696","No_kegg"
"GSK3A","protein_coding","ENSG00000105723","No_kegg"
"ZNF574","protein_coding","ENSG00000105732","No_kegg"
"STX1A","protein_coding","ENSG00000106089","No_kegg"
"EPHB6","protein_coding","ENSG00000106123","No_kegg"
"TAF6","protein_coding","ENSG00000106290","No_kegg"
"AP1S1","protein_coding","ENSG00000106367","No_kegg"
"TMEM248","protein_coding","ENSG00000106609","No_kegg"
"EIF4H","protein_coding","ENSG00000106682","No_kegg"
"LIMK1","protein_coding","ENSG00000106683","No_kegg"
"DNM1","protein_coding","ENSG00000106976","No_kegg"
"SPOCK2","protein_coding","ENSG00000107742","No_kegg"
"SFXN3","protein_coding","ENSG00000107819","No_kegg"
"PSMD3","protein_coding","ENSG00000108344","kegg"
"PNPO","protein_coding","ENSG00000108439","No_kegg"
"SLC25A11","protein_coding","ENSG00000108528","No_kegg"
"CNTNAP1","protein_coding","ENSG00000108797","No_kegg"
"SMURF2","protein_coding","ENSG00000108854","No_kegg"
"EFNB3","protein_coding","ENSG00000108947","No_kegg"
"GRPEL1","protein_coding","ENSG00000109519","No_kegg"
"ZPR1","protein_coding","ENSG00000109917","No_kegg"
"MTCH2","protein_coding","ENSG00000109919","No_kegg"
"PRPF19","protein_coding","ENSG00000110107","No_kegg"
"CCKBR","protein_coding","ENSG00000110148","No_kegg"
"ATP5F1B","protein_coding","ENSG00000110955","kegg"
"MANSC1","protein_coding","ENSG00000111261","No_kegg"
"GAPDH","protein_coding","ENSG00000111640","kegg"
"COPS7A","protein_coding","ENSG00000111652","No_kegg"
"USP5","protein_coding","ENSG00000111667","No_kegg"
"RAB35","protein_coding","ENSG00000111737","No_kegg"
"STK38","protein_coding","ENSG00000112079","No_kegg"
"PPP2R5D","protein_coding","ENSG00000112640","No_kegg"
"GNPDA1","protein_coding","ENSG00000113552","No_kegg"
"DBN1","protein_coding","ENSG00000113758","No_kegg"
"TUSC2","protein_coding","ENSG00000114383","No_kegg"
"SLC41A3","protein_coding","ENSG00000114544","No_kegg"
"ACTR1B","protein_coding","ENSG00000115073","No_kegg"
"NRBP1","protein_coding","ENSG00000115216","No_kegg"
"STK16","protein_coding","ENSG00000115661","No_kegg"
"PPP1R7","protein_coding","ENSG00000115685","No_kegg"
"THADA","protein_coding","ENSG00000115970","No_kegg"
"MRPL37","protein_coding","ENSG00000116221","No_kegg"
"AMPD2","protein_coding","ENSG00000116337","No_kegg"
"MEF2D","protein_coding","ENSG00000116604","No_kegg"
"HPCAL4","protein_coding","ENSG00000116983","No_kegg"
"EBNA1BP2","protein_coding","ENSG00000117395","No_kegg"
"STMN1","protein_coding","ENSG00000117632","No_kegg"
"STAG1","protein_coding","ENSG00000118007","No_kegg"
"IFT46","protein_coding","ENSG00000118096","No_kegg"
"CCND2","protein_coding","ENSG00000118971","No_kegg"
"AVPI1","protein_coding","ENSG00000119986","No_kegg"
"PCDHB10","protein_coding","ENSG00000120324","No_kegg"
"GLT8D2","protein_coding","ENSG00000120820","No_kegg"
"SLC35B1","protein_coding","ENSG00000121073","No_kegg"
"ZSCAN18","protein_coding","ENSG00000121413","No_kegg"
"HPCA","protein_coding","ENSG00000121905","No_kegg"
"KIAA1191","protein_coding","ENSG00000122203","No_kegg"
"NPY","protein_coding","ENSG00000122585","No_kegg"
"PHF24","protein_coding","ENSG00000122733","No_kegg"
"OPTN","protein_coding","ENSG00000123240","No_kegg"
"TUBA1B","protein_coding","ENSG00000123416","kegg"
"BAZ2B","protein_coding","ENSG00000123636","No_kegg"
"SLC12A5","protein_coding","ENSG00000124140","No_kegg"
"GDAP1L1","protein_coding","ENSG00000124194","No_kegg"
"MOCS3","protein_coding","ENSG00000124217","No_kegg"
"USP22","protein_coding","ENSG00000124422","No_kegg"
"PACSIN1","protein_coding","ENSG00000124507","No_kegg"
"TBCC","protein_coding","ENSG00000124659","No_kegg"
