Node.1	Node.2	Phi	Phi_tilde	wTO
ENSG00000164031	ENSG00000205269	g	g.AD	0.53
ENSG00000109738	ENSG00000205269	a	a	0.53
ENSG00000145864	ENSG00000205269	g	g.AD	0.53
ENSG00000085365	ENSG00000117906	g	g.AD	0.54
ENSG00000104643	ENSG00000117906	g	g.AD	0.54
ENSG00000075790	ENSG00000166006	g	g.AD	0.53
ENSG00000136531	ENSG00000166006	g	g.AD	0.54
ENSG00000186106	ENSG00000166006	g	g.AD	0.53
ENSG00000083720	ENSG00000166006	g	g.AD	0.53
ENSG00000178662	ENSG00000166006	a	a	0.56
ENSG00000004897	ENSG00000166006	g	g.AD	0.53
ENSG00000152932	ENSG00000166006	g	g.AD	0.54
ENSG00000109738	ENSG00000166006	g	g.AD	0.54
ENSG00000163376	ENSG00000166006	g	g.AD	0.53
ENSG00000145864	ENSG00000166006	a	a	0.55
ENSG00000110675	ENSG00000106299	g	g.AD	0.55
ENSG00000014824	ENSG00000106299	g	g.AD	0.54
ENSG00000186106	ENSG00000106299	g	g.AD	0.55
ENSG00000005249	ENSG00000106299	a	a	0.54
ENSG00000178662	ENSG00000106299	a	a	0.56
ENSG00000108590	ENSG00000106299	g	g.AD	0.54
ENSG00000108839	ENSG00000106299	g	g.AD	-0.54
ENSG00000134108	ENSG00000106299	g	g.AD	0.54
ENSG00000102468	ENSG00000106299	g	g.AD	0.52
ENSG00000104643	ENSG00000106299	a	a	0.56
ENSG00000166006	ENSG00000106299	g	g.AD	0.53
ENSG00000087470	ENSG00000118518	g	g.AD	0.53
ENSG00000149313	ENSG00000118518	g	g.AD	0.53
ENSG00000075790	ENSG00000095319	g	g.AD	-0.53
ENSG00000152932	ENSG00000095319	g	g.AD	-0.53
ENSG00000108839	ENSG00000095319	g	g.AD	0.52
ENSG00000106299	ENSG00000095319	g	g.AD	-0.54
ENSG00000085365	ENSG00000156642	g	g.AD	0.55
ENSG00000106524	ENSG00000156642	g	g.AD	0.53
ENSG00000014824	ENSG00000156642	g	g.AD	0.52
ENSG00000136531	ENSG00000156642	a	a	0.56
ENSG00000186106	ENSG00000156642	g	g.AD	0.55
ENSG00000165832	ENSG00000156642	g	g.AD	0.55
ENSG00000152932	ENSG00000156642	g	g.AD	0.55
ENSG00000185875	ENSG00000156642	g	g.AD	0.52
ENSG00000104643	ENSG00000156642	g	g.AD	0.55
ENSG00000260412	ENSG00000156642	g	g.AD	0.55
ENSG00000106299	ENSG00000156642	g	g.AD	0.55
ENSG00000102471	ENSG00000132294	g	g.AD	0.53
ENSG00000136531	ENSG00000132294	g	g.AD	0.53
ENSG00000083720	ENSG00000132294	g	g.AD	0.54
ENSG00000165832	ENSG00000132294	g	g.AD	0.54
ENSG00000109738	ENSG00000132294	g	g.AD	0.54
