"BM_10_678"	"BM_10_812"	"hB_RNA_13571"	"hB_RNA_13684"	"BM_10_549"	"BM_10_691"	"BM_10_797"	"hB_RNA_13253"	"BM_10_610"	"BM_10_573"	"BM_10_600"	"BM_10_619"	"hB_RNA_13518"	"hB_RNA_13351"	"BM_10_800"	"BM_10_685"	"BM_10_707"	"BM_10_581"	"BM_10_679"	"BM_10_709"	"BM_10_754"	"BM_10_594"	"BM_10_716"	"BM_10_689"	"BM_10_562"	"BM_10_680"	"BM_10_767"	"BM_10_652"	"BM_10_589"	"BM_10_692"	"hB_RNA_13266"	"BM_10_714"	"hB_RNA_13465"	"BM_10_672"	"BM_10_751"	"BM_10_677"	"hB_RNA_13276"	"BM_10_702"	"hB_RNA_13547"	"BM_10_766"	"BM_10_686"	"BM_10_753"	"BM_10_645"	"BM_10_773"	"BM_10_668"	"hB_RNA_13574"
"ENSG00000267633"	77.259749294407	82.0445236008194	104.781972788358	117.354920643479	103.635867948512	79.1294733492385	93.2388225650541	113.895968664488	79.6269696953592	119.999316053582	131.206013199847	72.3896054968757	88.0604892827426	124.249635130735	89.9046755312753	48.0673461453512	59.3951097709833	100.974969102101	90.491690748516	70.0331068058543	111.120975697315	125.788205091413	102.725517799684	127.159947725055	94.917288360572	51.2498689218603	100.345510053463	47.8080271323964	59.2276685729198	60.6851570083035	102.545345348552	66.9569810403706	112.253525838343	101.686510032874	100.194982400068	83.5509373982541	93.1043111240095	58.3136628852757	99.0868757160131	117.852472140019	58.51675164322	79.1505778329723	88.2817529392962	73.0060702323859	79.4019854360967	84.5350800381654
"ENSG00000179240"	574.878994749781	714.798863152344	603.204329835682	537.730755784299	434.666941298612	598.348894366845	656.862266834707	673.272137347337	468.637894561229	555.234930628877	495.160084597682	530.230357145947	537.415883192812	646.558286513639	647.060411218052	660.353779187325	633.928575440303	516.566684038114	620.317086199751	817.052912734967	709.057654449534	621.017358994613	663.046523979782	719.539216395435	562.038325460915	578.890564867377	716.327848995515	630.524735198964	642.152617159025	774.395373127699	662.46108057029	583.966581478676	591.882227147627	684.523823635934	679.169785762487	604.95109103546	650.973232249172	693.425513005343	663.966756934652	761.175599876819	769.212138535875	566.098697979302	586.365223226436	741.648967440111	679.758460684632	735.800237475052
"ENSG00000104343"	2216.44097975783	2110.67966194985	1828.49262424369	1370.60037915705	1816.14312278702	1769.03151378024	1932.87222059017	1813.15033986855	1639.8179071638	1959.03645335094	1761.58334243968	1596.33181991812	1503.61227962216	1520.1405977106	1990.56549204457	2362.16672485726	2033.14029600674	1796.29155560579	1829.86632666274	1986.77254188513	2132.46443838181	1745.18753835488	1891.60221160429	1548.66342839132	2033.78953824282	2169.9660409415	2280.12817398711	1776.11330988091	1870.34742861852	1919.49790102351	1502.78842386904	1911.24040817767	1529.15991841323	2090.77385262715	1483.90037225417	1538.81789765139	1665.28036156765	2030.83669439591	1463.43693365189	1891.04563094397	2017.8841131162	2478.61755148688	2060.99746676801	2047.64644604168	1660.66347588909	1833.03107225614
"ENSG00000145545"	957.02399125975	874.392320019691	801.440494570413	494.81738928034	970.957403595278	776.119218055545	942.864497848862	726.546058174275	980.40706437411	972.375410243711	860.255077849429	1000.29273050228	580.211634993771	696.411535177205	940.833435489261	948.757856059432	1012.0012934056	952.353392794548	831.69462336804	760.359445320704	761.972404781589	785.433438090475	906.889924817416	946.979773302037	976.90152964364	900.367015377228	775.939043086681	886.703597568786	772.037855257533	899.723414775282	755.931616595961	800.093545596328	733.965361250705	916.418669686513	795.852550076491	714.942198496453	739.535869659816	853.154241778055	690.220544517527	923.357900986937	875.863637498518	998.8458789574	883.907427577397	865.643404184004	896.661445290555	930.748483277351
"ENSG00000145246"	1105.72823990167	1185.71195066938	974.189152410679	1436.2841033978	952.846281041169	1137.07969237467	1296.9624981521	959.849090761211	776.362954529752	997.137173873815	823.745578524254	953.286493166649	1179.3521602072	970.22091629864	1254.8666683309	1601.1004108892	1158.20464053418	920.466560446517	1199.18759648415	1269.7669245871	1418.87123390381	925.088059491178	1270.06094734155	955.250339007732	1259.52042195321	1344.14428945061	1271.70547394488	1057.18882639941	1239.62471241216	1061.99024764531	875.719099657987	1378.12723002079	795.979546853706	1268.60121662964	1178.24226138814	1524.01140241626	1005.98072751064	1493.33684519249	988.328068039207	991.474467453186	1246.78433743054	1361.04580578002	966.739689594515	1153.03237906705	1070.95848649174	812.571891795426
"ENSG00000143669"	5467.99645006222	6774.85463377725	4794.48324137	4440.21975867491	5721.10238014793	5689.73432342675	6555.00351448925	5250.23674908237	4767.66481050963	5559.01593495841	4316.10737334799	4572.76676801043	4126.49806788478	5154.82591181277	7139.19099500465	8357.99592617856	7123.98653156968	5815.09532586939	7319.46530665096	6982.46749403607	6199.34096390259	6094.28996793278	6945.90521364735	5562.98925779287	5329.23247121099	7232.05536672343	6129.02427247341	6237.59448340606	5591.29972966458	6608.08590118678	4688.04649620016	6282.09042368642	4883.42086881352	6600.94259640231	5697.79694218109	5442.44460571412	4668.84057734058	6840.44619410756	4718.90659392842	6484.04839838251	6675.62878020153	6876.63661542334	5624.96452987293	5732.71475300973	5586.22017049807	5372.29059671116
"ENSG00000122335"	710.291243513096	973.295307374104	616.420074151331	511.457266087998	888.45117862656	642.79147528902	846.482793624312	671.435105594684	753.967869302933	767.614672533233	762.135798413022	761.501044837264	454.293365271719	571.394926990108	855.993812100593	840.034096921137	1018.85457530225	744.026088120741	867.614989161344	773.699084712295	746.853904686716	854.765519636923	946.319921548608	800.177232025958	770.003170745314	1049.45754314991	927.947588019155	714.414292242603	842.695424783122	832.442045048684	617.994514888175	972.995116890449	682.156041633008	838.29366807589	677.267349387803	557.35878492253	607.070386353298	806.249773805116	530.157129899352	782.799906691501	785.257054309016	833.662064349458	832.682212908917	775.254936277241	694.283214118065	666.792008872468
"ENSG00000007516"	1297.63148814907	1763.39530862583	2565.74236070952	1188.43751726269	1587.74174391021	1917.5347719836	2306.87513807022	2208.11216668895	1958.32578594524	1962.84595544788	2095.87344563581	1470.35510385862	1242.72279268169	1699.61229289943	1551.17221867341	1071.21514266783	1619.65895490874	1855.81364265545	1932.79199018586	2087.65356478404	1263.15068292662	1837.30016098087	1236.85673956792	1900.16247088335	1742.63875484466	1559.62669287207	1484.31873287004	1538.8772507145	2150.8995429113	1506.57498485832	2845.86020365538	1211.15855578088	3356.61591947381	1643.10519260437	2437.02099597128	1276.53141062902	2345.01752733481	1362.76494786242	3970.25019962965	1899.69535366985	1586.55902439117	1285.33655741805	2585.23849348161	2613.15378371476	1698.42783481602	4406.17539627499
"ENSG00000269533"	333.130746957604	312.443528233257	240.715342892174	256.604416033876	233.432246252958	281.831000969891	286.002231014155	281.984374032241	185.796262622505	229.522501340582	205.365933704108	214.348442250489	240.314606266924	279.178192515972	300.104339449468	328.4601986599	250.144789227795	232.773876140632	294.270688998991	340.994531947552	275.156701726685	274.356951262373	298.837869962718	308.078572537126	216.49673637299	277.215200077335	335.80972671357	303.986889502219	252.4969028635	315.298967934446	294.931302993622	301.730193042683	248.84173210318	290.178577410885	301.853238116661	273.920161849972	267.201803469718	297.906756044343	285.404077917063	295.171788020414	301.078125390116	261.541039795908	243.047295129173	317.518464185297	334.069328968943	235.490580106318
"ENSG00000147789"	400.421496343055	342.788762989725	315.289900101906	441.394626897861	272.67301178686	379.387885921007	367.717154161056	358.221191767342	308.554507569517	287.617408318904	304.626134994426	325.283162362584	370.347852123684	378.884689843105	403.937908372913	288.404076872107	307.255471699895	319.931217891919	306.01388550834	422.699823221049	302.370001897456	370.431407119594	336.192603708058	380.446022461954	326.344834138596	291.192437056025	330.842127205973	349.088801891272	327.310800008241	333.768363545669	534.506269117673	334.784905201853	367.375175470941	328.621038520874	422.975020638262	372.27759448336	385.285320017243	333.402029104946	463.252316381702	326.527032901704	285.977028191865	306.278322918893	343.317928097263	363.871524650304	405.724779240543	329.514291577338
"ENSG00000212127"	3212.51022066099	3073.85989107179	2039.94453329407	2185.95434273226	3102.03282412875	3016.67567576618	3214.12031044479	2442.33371515221	1988.185899581	2933.31661464312	1811.78390401179	2333.38962134085	2287.92673089742	2272.54116600227	3261.89357983894	4041.09045807702	4297.00774920076	2829.42492368202	3630.72005018473	3780.95404005416	3657.16517294973	3185.31391790538	4304.09543265749	2855.41280989108	3179.19591688613	3788.99599097299	3409.76030201471	3913.94395712204	3581.71532580446	3568.55108059697	2613.54508498964	4369.15490206469	2090.42754760495	3859.12706368664	3117.45907265022	3039.56195041243	2392.70510132516	3729.53904801046	2631.30703290301	2818.72839329385	2953.20832083283	4150.24334202455	3098.58053835085	2929.51342138844	3345.53487416724	1720.03009791941
"ENSG00000178974"	4643.89245758855	4784.4320132697	3273.72866333356	2377.75081751526	2959.15619064633	4301.17466095587	3564.0278018687	2788.61420052731	2757.08382570181	3152.36298521712	2633.24763882822	2826.955113365	2894.47421315332	3214.38407921549	4595.26855638025	5440.76579940475	3934.92602232765	2985.67040218737	3951.24023726345	4435.43009770411	3537.72902220023	2965.43217357236	3675.29074794427	3479.84052067102	3854.28179927087	4761.57873074012	4726.17417152797	3559.44292574408	3570.28542485179	4087.01340025487	3027.356390113	4154.7230513911	3168.21839359128	4450.64493302422	3459.26347463527	2762.46896815493	2880.17807989314	4043.92575226151	3060.68349433907	3694.51281928848	4257.5655913317	4541.69456935066	3435.3590773415	4636.46487301232	3364.90121207849	3535.8091130249
"ENSG00000136147"	358.053246729993	347.284353324016	380.424639943318	631.439535701107	420.580512645416	478.028736260468	370.860035820552	455.583874657953	334.26738320031	354.283695015338	358.249462128277	384.511021405483	445.240417775362	418.767288773958	421.665590872038	603.130748061906	395.205922706928	363.509888767562	455.221558803603	442.709282308436	467.917577936313	420.94478081772	489.762064661122	378.37838103553	424.461581657389	420.4818791089	432.181157160955	413.133517483727	442.648891439716	424.796099058124	435.590847498273	567.015447038075	378.365031147422	404.265881350208	464.194475423101	539.379469279868	443.57013267211	470.312368052984	427.682668688774	407.618183456763	409.61726150254	423.283524932852	340.048233543956	395.159840464184	416.376265091726	319.163057286951
"ENSG00000126803"	748.505743164093	348.408250907589	1568.89764661487	2181.57542778288	2100.89021627662	1037.35487664687	634.862095218234	953.419479626925	1493.83512938898	1177.13614795419	1998.89508805331	1695.04491832295	959.612434613812	1332.99917195813	558.421998722428	592.830602459331	831.531536793767	2284.16009053067	677.651516215986	505.23884195652	766.507954810051	1376.7370478509	1028.29280948977	933.540104030284	1225.39285759885	1006.36106246562	654.729615101309	1266.46169988461	560.065146680768	815.29189198112	1741.4559090608	928.922167344889	2592.0359602672	724.206364136568	728.633131504293	584.856561787779	1366.28684210437	905.129463045366	1154.31975727287	863.89105724656	777.706505709891	818.176081729964	748.760052707364	777.572589300491	1022.54264171364	665.066803157403
"ENSG00000287998"	32.3992497041061	64.0621622636535	87.790301525381	63.056375271123	116.716123126479	47.6944770872122	77.5244142675731	95.5256511379578	165.889520198665	106.666058714295	139.192466177229	118.455718085797	76.5385561055613	89.7358475944196	62.0468887469365	38.9116611652843	111.936937645315	111.603913218111	89.1101382180043	80.8715638115222	108.853200683084	131.730954938251	97.5373603350539	88.9085813362175	131.177825487083	38.4374016913953	33.7796766516609	61.3386008491124	112.220845717111	117.412586385631	86.2106885673665	55.9387436539805	32.9695670294434	71.9246046573989	96.3901096506985	84.6085442007636	113.541842834158	62.1167278560545	69.4455026385733	77.8475045328565	55.685295918548	80.8712425684717	71.9332801727598	34.7647953487552	106.514858511837	44.8553485916796
"ENSG00000135250"	12148.8878890474	11392.9498046782	9419.04977011023	9760.60142217592	10973.3279208395	11483.5293241347	11169.8014178495	10375.5553389843	7752.84672648461	9728.51598005828	8594.5643255169	9233.90526221186	8279.33198303169	8565.55509345708	12755.0675581202	11887.5124859944	11896.1551589383	10687.4033086486	11119.4255418234	12267.4658754921	10903.4622684223	10605.8275599909	12858.3294603403	11886.8705605096	10059.0995934485	13006.9837784185	10934.6800361229	11621.8607844112	10624.612476458	12197.716558669	10387.9342319015	12525.1932381595	10118.5171192744	11855.1589745644	10625.7412980731	8372.01544866556	9433.81324828074	13434.9608534381	9141.39945708244	11357.0859390712	12115.7990458712	12529.8806039066	10556.7538144447	11613.7592995075	10742.5076393665	9872.48970445717
