"hB_RNA_12282_resequenced"	"BM_36_369"	"BM_36_322"	"BM_36_416"	"BM_36_472"	"hB_RNA_12352"	"hB_RNA_11042"	"hB_RNA_12262_resequenced"	"BM_36_448"	"BM_36_350"	"BM_36_412"	"BM_36_487"	"BM_36_510"	"BM_36_286"	"BM_36_521"	"BM_36_458"	"hB_RNA_10952"	"BM_36_419"	"BM_36_341"	"BM_36_400"	"BM_36_528"	"BM_36_450"	"BM_36_344"	"BM_36_367"	"hB_RNA_10972"	"BM_36_351"	"BM_36_430"	"hB_RNA_12382"	"BM_36_428"	"BM_36_417"	"BM_36_358"	"BM_36_531"	"BM_36_527"	"hB_RNA_11072"	"BM_36_354"	"BM_36_370"	"BM_36_482"	"BM_36_435"	"BM_36_538"	"hB_RNA_10842"	"BM_36_413"	"BM_36_499"	"BM_36_467"	"BM_36_414"
"ENSG00000121310"	1049.36815998005	922.644467764063	644.292839692273	555.698405705796	1053.93004918642	1188.18226321636	686.734173113157	1295.67305064932	735.46968852973	764.716945642382	514.034412061761	875.939009767785	503.160553439859	746.450023353848	821.27323572388	898.281801927149	618.3040270948	658.584361566931	569.507447153629	550.399335492623	723.174128470474	743.504300650812	491.123242176263	562.330545590084	404.387465440262	676.796627748721	511.17242122024	730.154322697673	518.704113652628	492.884657727144	762.063700219697	845.443679045047	1044.89272384426	360.223911190686	702.91721794614	709.451447379384	605.740236209301	604.556656029821	685.605391282512	571.525319536289	617.163002752087	889.382262192531	952.616935440708	602.078785494755
"ENSG00000183891"	267.457344396028	218.313091408841	401.894554549306	297.483086566272	182.38222127765	172.883662637301	201.736799345112	200.933253844013	209.718089402537	291.560946293731	519.714350316587	196.307815172069	202.560609275306	231.851901193241	248.634407861554	166.290921810043	160.875342472942	290.937125635391	272.205254402243	357.710160589461	174.417423476383	201.762919193703	329.55267164308	284.473099533807	270.312476898571	286.43452784871	349.368237495408	164.673102565858	379.40548242436	265.324943452333	294.192033108069	200.716844665371	174.148787307377	197.749031365807	303.763962432588	359.839724948652	247.71784351152	304.891685317633	189.706346131569	283.361292879337	314.052804591931	212.280539947189	145.287826097717	264.914665617692
"ENSG00000100207"	3630.40460917888	3494.98514662661	2358.20190416039	2196.61511120535	3741.07794055179	2789.7136471019	2969.3998752921	2890.66736219731	2715.4123450766	2633.12826929633	1822.31352342337	3792.1254503239	4910.06916883341	3040.46436280242	2496.73994235888	3558.93655088784	3818.36656230958	1832.62324475798	3255.84511737151	2616.62018022346	2810.42414431756	2836.5960017351	2813.37961706194	2945.85598420889	3115.08098377913	2776.89402883417	2332.0732350788	3065.0946354947	2169.20960603493	2250.42032329643	3184.71737045301	2993.26597518017	4557.29086784739	2826.20777800645	2966.32918192554	2425.89623356856	2938.96188679328	2805.00350492222	2475.33499886586	2081.98509259648	2408.46767563359	3192.26011968858	4218.05899443697	2795.83494209746
"ENSG00000117118"	796.525971015494	760.638372781936	989.417535639323	1182.7927521875	825.204804469366	883.278349110573	804.183679581201	910.435501900113	962.664285382478	1006.84368304894	1304.49248585839	676.923500593343	707.341647589367	980.186899353538	851.594504975289	833.785790197085	856.709655096871	1364.87866978147	961.405792144093	1017.79410333465	897.591551946857	888.868923534465	1168.18087107722	1014.08516877002	1210.9998965056	1032.93867343672	932.185297280374	862.203508717465	1019.07946003838	1529.00761208479	995.113413193859	834.039312870878	661.606351779625	1183.28744714567	920.55298371339	983.747878541793	937.588668083224	959.973249200091	1033.40035919039	869.294813748473	1148.97367533633	774.457969876295	779.842223324503	1178.97973086882
"ENSG00000122386"	116.921243451816	52.355628256419	60.3742940690662	35.6979703879526	68.0195989191235	84.8701616583113	121.594783166917	108.088233102296	48.7885832985069	67.5937141926644	35.9729422805652	68.3692735599276	76.1627890875149	78.2264544676381	46.7813868450311	74.5977966998324	77.5302855291286	57.0648381471346	59.8465452941102	60.2771265081688	64.9951719558219	55.6039541085009	52.5745507290517	60.4859746517065	111.368740482211	45.626738949352	42.6647847632641	76.1224719408213	54.986301800632	63.9103878388831	62.9145612972075	63.8644505753453	74.7487945520249	96.2022314752575	51.8621399275149	56.7189230539219	61.6957647990955	57.4938606598965	64.067494088293	36.0205033321191	39.3933831543885	52.7041340558537	76.9632808517637	45.9769254377813
"ENSG00000021355"	419.454960883389	240.045616345468	435.235582617298	235.606604560487	207.048669237332	282.900538861038	431.108776682706	496.097275007976	186.416079468922	474.164860754511	541.487446960087	323.569433283618	230.108852136747	243.161750031935	105.691281390626	220.685148570338	314.966784962085	420.034628328909	193.053371916484	190.712875673386	122.585830650854	203.351603596803	324.423447181709	164.446243584327	339.512470984605	207.855144102603	258.403696396373	212.832217467194	276.764385729847	150.092577500407	234.821954137465	166.503746142864	259.235181105959	324.949759649759	183.369709029428	310.55934918049	239.30478467528	262.206849373164	186.378164620489	645.967693089335	166.327617762974	250.344636765305	237.957898960045	292.281883140181
"ENSG00000143554"	134.459429969588	62.2340486821584	111.737499471107	40.457699773013	71.7569395190753	125.733572827128	146.46644336015	207.861986735186	63.3523395070164	127.116537138443	81.412448319174	95.4462135836613	65.629637405199	113.098488386947	51.9793187167013	106.457272373719	138.585385383317	73.9036428462891	73.3602813282641	90.9097645696972	83.9178169556181	81.0229045581013	64.1153057671362	73.7172816067673	183.812484291028	88.7186590681843	101.429488305118	124.281586842157	76.9808225208847	48.4169604840023	132.918087247621	88.1937650802387	93.0383932190097	181.715326119931	83.349867740649	97.6309331256032	102.826274665159	74.916242678047	121.478625154426	74.4423735530461	76.5982450224222	81.984208531328	68.3245452459535	45.9769254377813
"ENSG00000143341"	112.536696822373	518.61707235132	153.188507339422	301.052883605067	168.180326997833	163.453644675266	105.013676371428	139.960404401692	197.338896625304	168.479854778731	259.383846970391	211.877055685716	181.494305910674	127.235799435315	250.367051818778	108.011393138299	61.0550998541887	171.194514441404	144.790028937363	161.068387226746	149.735712607083	305.027405395205	98.7375708813897	156.885496752864	70.2812439936285	145.752082754874	129.604346167651	88.550630625037	147.546576498362	305.026851049215	91.2704199100334	142.174431637971	126.436790784808	48.1011157376288	167.625845122861	146.911308893765	127.130666858742	133.281222438851	132.295215065436	79.2451073306619	216.663607349137	127.368323968313	184.554806124127	119.321068398051
"ENSG00000138622"	51.1530440101694	88.9057838316549	46.857661068529	73.7758054684354	71.7569395190753	66.0101257342421	95.34136407406	58.201356285852	64.0805273174418	43.3810404520085	44.4928496628044	65.6615795575542	149.084608426625	78.2264544676381	78.8353000536636	125.106721548677	143.431028228888	47.7099466476044	73.3602813282641	53.3600792039527	89.6768828251213	65.1360605271011	84.6322036126198	69.9369081910356	128.66873900372	63.3704707629888	66.0096669922199	83.8900711184561	43.9890414405056	72.6254407260035	113.423434451304	74.5085256712362	117.689591422337	123.993987234776	84.2759773822118	66.9469255718422	99.0871374046079	74.916242678047	59.0752218216727	52.8300715537746	48.1474682998082	83.4482122551017	101.308808468138	56.9238124467768
"ENSG00000112796"	476.454067066149	485.030442903806	506.423183086794	1174.46322576364	897.709212108432	1401.92933702248	819.383027477066	1151.55540651293	985.238107505668	603.299120704676	554.740636221348	532.061871466367	397.8290366167	801.114292740872	987.607055617324	910.714768043787	889.66002644675	1094.52230544504	1117.77902339644	1005.936307956	939.550460424666	826.910231813563	1155.35780992379	769.305990101392	1435.89987728521	859.303583546129	1109.28440384487	1298.74258250054	1227.11096851744	1084.53991484165	770.038785454554	807.429125131151	512.108762675575	1390.656701659	942.779615110897	750.363457451065	1212.41525673374	837.14545597213	920.242187813662	1630.52811750059	1001.24848850738	732.733863748744	654.973226840519	908.59162174663
