"X11320_TCX"	"X11322_TCX"	"X11323_TCX"	"X11325_TCX"	"X11337_TCX"	"X11340_TCX"	"X11341_TCX"	"X11391_TCX"	"X11394_TCX"	"X11400_TCX"	"X11417_TCX"	"X11422_TCX"	"X11428_TCX"	"X11429_TCX"	"X11430_TCX"	"X11431_TCX"	"X11463_TCX"	"X11465_TCX"	"X11468_TCX"	"X11474_TCX"	"X11485_TCX"	"X1926_TCX"	"X1929_TCX"	"X1930_TCX"	"X1931_TCX"	"X1933_TCX"	"X1935_TCX"	"X1936_TCX"	"X1937_TCX"	"X1940_TCX"	"X1941_TCX"	"X1942_TCX"	"X1943_TCX"	"X1944_TCX"	"X1945_TCX"	"X1951_TCX"	"X1952_TCX"	"X1955_TCX"	"X1956_TCX"	"X1959_TCX"	"X1960_TCX"	"X1963_TCX"
"ENSG00000272991"	233.1500459929	147.017727583308	212.755144002884	113.405333913786	84.8741628929201	156.534090513476	89.9095711836678	178.932414739495	130.003275455222	104.693910808789	131.190625047554	71.4822116232762	96.3343185351255	94.9953459902435	127.690535171197	100.824889392549	134.145210298984	110.368953611518	86.967037274087	96.0908749490805	78.3428136468593	159.56272664096	98.9935701996471	115.00726012704	125.408970138905	57.6964881841849	223.610457446658	189.239974032124	96.8095116380137	66.8317963359838	189.589538326286	148.706770703147	112.525780715476	109.444369212234	107.554506701794	95.1058134886496	129.728823412306	186.60614399339	122.118015933176	70.838928270577	115.349423642924	142.256868990941
"ENSG00000006652"	1469.02059054173	893.482737277127	859.282911700968	1150.96466086184	1100.59648186145	964.159253162714	989.676249969478	1111.4860586171	1002.39367653631	993.029556999782	998.328658898457	1019.19798508026	964.989925839035	1860.66971167847	952.127251385232	957.836449229214	1053.18260851755	1080.92593943281	862.423119634696	1351.03770178407	1076.62018148032	926.725892581394	1015.6359557983	891.848753060632	700.654463602144	1298.17098414416	1215.46674394272	904.146542597926	2088.46352710757	1034.13411172522	847.641598679733	1989.67353669482	814.157119294324	1220.30471671641	858.921201407281	909.449341485212	918.080904148629	905.03979836794	898.279147876549	987.578000007455	900.612807673596	808.411448610591
"ENSG00000123739"	976.425380586806	1566.43888317929	925.381597216427	1429.50407749219	1747.30070129555	1214.84065898502	1379.50804741508	1149.37762879723	1588.26370079175	1675.10257294062	1082.5893042542	1637.17323395246	1454.07185070967	1471.39530474018	1294.48593264134	1619.49978586782	1616.87790711435	1430.65756118931	1627.73304764666	1547.0630866802	1582.28743320096	1174.63408369023	1669.56463586712	1729.44879851417	1421.30166157426	2473.08128898574	1202.18295439144	1534.94645603834	1340.20667673875	2757.6909646006	1587.26125110379	1443.26261178558	1551.53194115926	2164.26240117193	1646.64434908239	1624.72431376443	1746.34954593489	1382.21836657961	1670.69432841093	2016.82595782113	1540.35845726243	1674.70672667267
"ENSG00000168497"	499.607241413357	218.776380332303	357.346018567951	1334.99963256404	943.763789559318	1624.32476532824	799.792603365164	162.09171688166	627.778974895609	342.989752575062	283.713059045929	707.904482849864	739.386479013186	614.372074610814	407.129242574832	1060.4617830752	1123.10936707766	882.261822932074	2224.90670359539	340.161697319745	1359.12911554021	649.068718539498	614.902368740115	1039.40523775193	390.767080867603	342.245077638006	731.71540778337	762.216562073833	197.652752927611	3672.23133551406	1027.31075418662	1648.45490004263	1870.5756253055	1026.04096136469	575.643838685656	593.420648746886	647.535323699033	325.227850959908	588.114371211919	1410.52807174061	871.331800133469	511.143646512279
"ENSG00000183718"	828.296216027407	567.06837782133	611.412841017997	651.583278188855	621.795497715523	628.404972061345	658.889544047476	592.582055872564	745.80826445364	571.128722397199	786.077159837781	718.280932924211	629.054866331931	1009.84183020063	560.728002273518	595.046891861382	646.465747504678	801.554525603652	589.926402842557	783.140630835006	668.287940654269	834.774490788299	585.394669930605	457.859092203877	645.220063758135	573.031030374746	648.691723087829	603.202417227395	509.258368512468	619.073481849114	671.279237445978	744.686619180099	586.457892434773	558.166282982394	572.614134271521	595.402019861233	525.568053824215	595.806759750323	526.680768104432	497.95599578435	445.426235913443	566.084230398436
"ENSG00000198924"	464.547084121191	754.340959385782	386.264193480964	451.631768393497	408.687545234387	443.513256454848	649.49600675963	423.122533678101	668.832640828837	652.383697950289	326.376676947572	700.986849466967	640.58204974639	286.01859607932	372.893374449221	610.350669715608	789.173418035512	424.920471404345	560.937390417861	791.788809580424	536.529572248188	454.348102977649	697.714297657128	557.67671420093	449.836523324334	532.381231881342	390.764809300347	609.773249659066	427.575343067894	383.403463190644	545.621055066928	512.980720642638	520.266256719787	495.235770685359	618.81712658708	455.715356299779	656.40567059902	521.164302152967	741.698378980637	397.948097049418	602.478912719578	654.38159735833
"ENSG00000144136"	1559.30049556906	3075.99590747218	2238.060179875	2103.96737918997	1880.14721712795	2363.89162775423	2318.86177619967	1796.69195270776	2327.22968758986	3308.01506242099	1691.61244980016	2613.71247983818	2461.87702923099	1825.56273598642	2299.35492681468	1877.86356493622	2307.58303248359	1572.75758896414	2227.80560483786	3178.68614331558	1622.64585235237	1507.28180194172	2178.81040564416	1249.89022326745	1498.5463170946	1396.51727082175	2117.6574509676	2173.63136839676	2430.3221150793	1621.55042688887	2229.88160484928	2079.58925851532	1936.76726102048	1580.10308050163	2308.63476357089	1423.61514565822	2710.99977130845	2299.25427420427	1854.24594745159	1648.04683123607	2230.68039260238	2384.02890791716
"ENSG00000152253"	123.587054454883	155.7687827966	168.345089672185	310.372492816676	352.412285055385	316.471096038114	177.80624151994	117.884885004844	209.544753200851	187.511482045592	99.192911621321	170.634956778143	251.951294630328	111.516275727677	150.822878499313	162.940223036173	285.415341061668	246.950533705772	369.60990841487	176.807209906308	356.103698394815	203.735458874898	181.80549911666	394.930591379647	205.379907618787	209.805411578854	220.289510058836	145.872479983096	138.155240566749	921.575296843567	137.783094713871	157.928896018071	333.605844003528	300.972015333644	174.965429916298	352.684058353742	184.059698174725	95.9688740537433	155.831578614114	608.381383970838	152.616160512176	151.086605686931
"ENSG00000170525"	5853.29325992701	5373.14790096137	2832.94834951413	11490.7457196328	8011.38294089259	4286.53860906105	4576.66556002834	3942.82838596558	4361.09672069852	5567.52842107037	5402.2806167956	4465.33234866046	5164.17816967784	16711.9529875227	4893.8785544961	8905.89848893291	4488.15623819473	5746.77345335974	7835.73005839524	6868.57574136028	4362.27030533648	3188.55007982528	4155.82622588134	3152.93488612433	3442.38535424763	5485.10022896467	3764.84735532714	3362.9520385292	6776.66581466096	3890.31403934727	4245.92384670264	5577.08028420018	4768.44543690757	4087.74719007694	3434.92737952559	4035.06227436739	4407.45361593092	3520.19161633245	4461.4281281108	5002.47843463692	4910.33623415338	5517.60435313831
"ENSG00000272321"	224.385006669859	262.531656398764	266.460325984195	115.394901175431	38.7469004511157	190.563240625101	155.664332198589	252.610467867523	184.741496699525	223.451182770997	108.792225649191	261.717129652963	173.731121460782	46.4651148865321	184.133452891799	212.452445505728	378.17532690671	110.368953611518	72.4725310617392	330.552609824837	42.7324438073778	99.1632764435344	165.623857834025	173.595864342702	182.660891289275	26.2256764473568	303.313194754377	307.514957802201	251.099670811098	38.6920926155696	261.236747577499	145.24847371005	103.258951715378	57.4582938364229	277.975379996889	71.3293601164872	149.687103937277	189.271946050438	307.917205819234	37.5029620255996	163.263799617676	211.913680703747
