"BM_22_135"	"BM_22_172"	"hB_RNA_9191"	"BM_22_167"	"hB_RNA_9186"	"BM_22_72"	"BM_22_2"	"BM_22_6"	"hB_RNA_9211"	"BM_22_134"	"BM_22_123"	"hB_RNA_9152"	"BM_22_63"	"hB_RNA_9210"	"hB_RNA_9223"	"hB_RNA_9160"	"BM_22_163"	"BM_22_211"	"hB_RNA_9205"	"hB_RNA_9171"	"BM_22_64"	"hB_RNA_9218"	"BM_22_160"	"BM_22_18"	"hB_RNA_9179"	"hB_RNA_9224"	"hB_RNA_9222"	"BM_22_41"	"BM_22_37"	"hB_RNA_9177"	"hB_RNA_9148"	"BM_22_92"
"ENSG00000258539"	2829.14480978824	2259.75263792382	3589.28184418358	3760.96862033766	3679.44237941423	1965.7696591138	2517.90471296703	2484.81454960043	3260.17668403821	4127.06087860025	3365.47595543352	3984.19276882619	2175.02117248659	2438.58035076251	2183.77626114366	5752.0736621534	2767.59741698708	3808.9657064339	3107.25113188736	3264.7789198297	2656.59000087812	3067.7385496102	2299.83332519621	3091.17571753254	2926.11148408109	2651.63032498455	4416.00361839529	3293.25319598627	3357.3327333982	4025.12322937083	3697.43874472727	3396.31600532229
"ENSG00000245105"	112.602778499034	105.623086420968	108.898114204599	118.469223831682	156.392151681018	181.615322663396	150.215906171328	133.785156314665	145.286398520335	107.91032391012	94.9236807942787	105.353453303061	192.970259758131	116.410841294924	183.424977604227	118.495930889333	149.078441345945	87.899208610013	131.6233459801	126.807072718416	130.12199274152	184.21168232247	117.076591868426	104.613014699364	140.493781100957	102.423488947901	270.848221928245	159.792784463289	92.1620750344604	111.47118711752	124.762565433413	168.394967725927
"ENSG00000268870"	297.341711974013	281.015551028263	252.643624954669	273.852771031206	166.959188956763	187.669166752176	244.994989827047	274.096417815412	144.033929567574	247.379327454332	216.694463227343	233.609831237222	284.323201877671	193.514125788965	224.1860837385	224.941428128904	172.755605559713	180.13911887978	188.033351400143	235.498849334201	208.518472840449	225.966330315563	334.389991843381	249.034521717956	198.106338818616	173.234789948919	317.952260524461	254.907537120009	279.412005263205	191.527766956467	177.132037343735	292.586256423798
"ENSG00000157077"	3697.41779712064	2737.47907467187	2981.63036692192	3004.65422761511	2620.62524438463	4138.23485211595	3276.13738221278	2977.53549114956	2571.31876001938	3641.46442100471	3879.40618680456	3116.62998380012	2460.37081191617	2710.70959015324	2451.7805339765	3440.39880700725	3420.91176288548	4137.77385716024	2906.99561264621	2872.28083760603	3647.45685243777	2312.47065208807	3548.38300697113	3807.72857927863	2745.18783791511	3000.62887991814	2286.90107384631	3209.55221364835	3825.45755897006	3076.60476444356	2944.24251637	2119.6716562501
"ENSG00000243232"	95.0085943585602	56.2031102056526	80.5846045114032	57.5176666429179	72.912557202637	127.130725864377	98.3556528502745	84.839367419056	93.9351714571132	83.4777977417909	90.1295555016384	79.7021777162287	71.8506286333466	93.73340467903	76.4270740017614	62.2605738571073	92.9547928392364	86.8140331950746	97.7773427280743	79.5060217837688	90.5196471245359	63.8600498717896	109.057647219904	95.3552257879161	100.063916035934	112.539389090904	47.1040385962164	89.0274084866898	83.384734554988	90.1903241223575	83.9451829150744	57.8857701557874
"ENSG00000090376"	387.072051090431	574.628350895724	228.686039829658	630.977387799174	507.217789235735	223.992231284855	489.095837355456	270.017602074111	283.057983324101	704.471171186821	261.759240978162	353.621156304187	381.834769308642	524.604700381023	270.042328139557	513.147632919062	206.955953868489	642.423845643552	483.245713098367	296.889575015339	332.982987636686	508.424243210017	512.410563040577	391.604470954257	347.696839559204	345.205092379963	984.474406660924	369.806158329327	326.955932860348	368.868291916159	380.448810642631	859.866803950514
"ENSG00000288558"	1111.07272847094	681.220456458168	723.083478318536	838.727765822847	799.924721773858	2022.8487605223	1636.28040650911	1261.1698272102	905.535052846572	1002.75159482517	1315.50798030051	752.132044885331	788.304039863002	1080.9578120243	869.230588313366	779.261376017988	1189.99673474381	1105.79374782226	1000.33742944876	731.65668147848	1396.58884134998	731.934417761281	1488.31612676575	1414.59014566928	959.198548667687	1043.20220224714	625.306112364773	1039.41401703263	1126.42536153229	861.368264089931	803.255282389198	615.69410074792
"ENSG00000176749"	1608.10843043933	912.816031271116	1563.77691997804	1091.97719357898	1556.52459071716	2655.04305036488	2711.93359177166	2273.53189420105	2137.9645023639	1346.84300502914	1750.81455687225	1944.00024268779	1259.43887618737	2712.22141926097	1814.88825062849	1806.56084466026	1869.61904087974	1771.00627717952	2749.04759747009	1944.37511501571	2341.38765821233	1232.9901936784	2017.56647356822	2548.66928732168	2146.82583495276	3027.18311779352	664.166944206652	1648.9093520569	2161.42009307008	2499.99471471748	2207.2192131615	608.326820909911
"ENSG00000283375"	112.602778499034	61.0482059130364	54.4490571022994	59.2346119158408	84.5362982059559	120.212046905772	126.074064108079	117.469893349462	117.732081559582	133.360872002129	122.729607491593	42.1413813212244	167.309320960507	96.7570628944826	117.188180136034	40.1681121658757	62.2621725621301	404.770429772035	57.3501721770436	56.3586989859627	90.5196471245359	112.983165157782	183.633832451161	90.726331332192	75.8059969969194	93.5720763227738	77.7216636837571	82.9400643166597	65.8300535960431	46.6152237036904	57.7604469599136	88.4073580561116
"ENSG00000105321"	97.6477219796313	159.888158343667	267.889360943313	148.515766107833	251.495487162719	84.7538172429181	125.17992180944	131.337866869885	199.14256348908	207.676472430797	113.141356906312	260.177223809298	105.72306784621	193.514125788965	327.107876727539	461.93328990757	119.262753076756	168.202189315457	173.930850045132	297.895980354374	130.12199274152	261.580588897907	98.6330191768247	126.83170808684	257.740389789526	260.484428682316	276.736226752772	119.46412933684	149.214788151031	248.276734943568	242.593877231637	205.231366915973
