"Node.1" "Node.2" "CN"
"ENSG00000109738" "ENSG00000151835" 0.53
"ENSG00000121989" "ENSG00000196456" -0.53
"ENSG00000097096" "ENSG00000100083" -0.51
"ENSG00000165983" "ENSG00000259712" 0.52
"ENSG00000185291" "ENSG00000148925" -0.53
"ENSG00000227028" "ENSG00000196911" 0.51
"ENSG00000115947" "ENSG00000244383" -0.53
"ENSG00000006715" "ENSG00000066739" 0.52
"ENSG00000106524" "ENSG00000164815" 0.52
"ENSG00000070047" "ENSG00000130304" 0.53
"ENSG00000066557" "ENSG00000092108" 0.55
"ENSG00000183775" "ENSG00000151490" 0.53
"ENSG00000254692" "ENSG00000260433" -0.53
"ENSG00000114859" "ENSG00000105397" 0.54
"ENSG00000075945" "ENSG00000072041" 0.55
"ENSG00000239779" "ENSG00000157734" 0.52
"ENSG00000128699" "ENSG00000075790" 0.51
"ENSG00000146151" "ENSG00000197724" -0.53
"ENSG00000065559" "ENSG00000134815" -0.53
"ENSG00000114446" "ENSG00000170899" 0.52
"ENSG00000196950" "ENSG00000173692" 0.54
"ENSG00000250349" "ENSG00000259678" 0.53
"ENSG00000205060" "ENSG00000111615" 0.54
"ENSG00000144635" "ENSG00000273154" -0.51
"ENSG00000126733" "ENSG00000272333" -0.52
"ENSG00000109738" "ENSG00000076555" -0.52
"ENSG00000165637" "ENSG00000120696" 0.53
"ENSG00000283228" "ENSG00000009844" 0.51
"ENSG00000163281" "ENSG00000184428" -0.52
"ENSG00000061676" "ENSG00000151465" 0.53
"ENSG00000117266" "ENSG00000163558" -0.52
"ENSG00000064763" "ENSG00000254692" -0.53
"ENSG00000169891" "ENSG00000151835" 0.54
"ENSG00000234497" "ENSG00000114120" 0.51
"ENSG00000025156" "ENSG00000136213" -0.52
"ENSG00000198919" "ENSG00000197724" -0.55
"ENSG00000023909" "ENSG00000144320" 0.52
"ENSG00000198919" "ENSG00000188343" 0.54
"ENSG00000066557" "ENSG00000160325" -0.53
"ENSG00000049239" "ENSG00000163558" -0.53
