"hgnc_symbol","gene_biotype","ensembl_gene_id","kegg"
"TMEM176A","protein_coding","ENSG00000002933","No_kegg"
"ALS2","protein_coding","ENSG00000003393","No_kegg"
"PLXND1","protein_coding","ENSG00000004399","No_kegg"
"KDM1A","protein_coding","ENSG00000004487","No_kegg"
"VPS50","protein_coding","ENSG00000004766","No_kegg"
"DVL2","protein_coding","ENSG00000004975","kegg"
"SKAP2","protein_coding","ENSG00000005020","No_kegg"
"MYCBP2","protein_coding","ENSG00000005810","No_kegg"
"ITGAL","protein_coding","ENSG00000005844","No_kegg"
"OSBPL7","protein_coding","ENSG00000006025","No_kegg"
"AGK","protein_coding","ENSG00000006530","No_kegg"
"VPS41","protein_coding","ENSG00000006715","No_kegg"
"RHBDF1","protein_coding","ENSG00000007384","No_kegg"
"CDK11A","protein_coding","ENSG00000008128","No_kegg"
"NADK","protein_coding","ENSG00000008130","No_kegg"
"ADAM22","protein_coding","ENSG00000008277","No_kegg"
"NFIX","protein_coding","ENSG00000008441","No_kegg"
"VTA1","protein_coding","ENSG00000009844","No_kegg"
"RANBP9","protein_coding","ENSG00000010017","No_kegg"
"LRRC23","protein_coding","ENSG00000010626","No_kegg"
"HIVEP2","protein_coding","ENSG00000010818","No_kegg"
"PTBP1","protein_coding","ENSG00000011304","No_kegg"
"PLAUR","protein_coding","ENSG00000011422","No_kegg"
"RABGAP1","protein_coding","ENSG00000011454","No_kegg"
"SLC25A39","protein_coding","ENSG00000013306","No_kegg"
"YAF2","protein_coding","ENSG00000015153","No_kegg"
"RGPD5","protein_coding","ENSG00000015568","No_kegg"
"CHDH","protein_coding","ENSG00000016391","No_kegg"
"ADGRA2","protein_coding","ENSG00000020181","No_kegg"
"PLEKHB1","protein_coding","ENSG00000021300","No_kegg"
"NRXN3","protein_coding","ENSG00000021645","No_kegg"
"EHD2","protein_coding","ENSG00000024422","No_kegg"
"HSF2","protein_coding","ENSG00000025156","No_kegg"
"NR1H3","protein_coding","ENSG00000025434","No_kegg"
"BRD9","protein_coding","ENSG00000028310","No_kegg"
"LRRC7","protein_coding","ENSG00000033122","No_kegg"
"STAU2","protein_coding","ENSG00000040341","No_kegg"
"CTNS","protein_coding","ENSG00000040531","No_kegg"
"CDH10","protein_coding","ENSG00000040731","No_kegg"
"RAB27B","protein_coding","ENSG00000041353","No_kegg"
"RIPOR3","protein_coding","ENSG00000042062","No_kegg"
"ZPBP","protein_coding","ENSG00000042813","No_kegg"
"ZIC2","protein_coding","ENSG00000043355","No_kegg"
"YTHDC2","protein_coding","ENSG00000047188","No_kegg"
"ATP6V1H","protein_coding","ENSG00000047249","No_kegg"
"GOPC","protein_coding","ENSG00000047932","No_kegg"
"HDAC9","protein_coding","ENSG00000048052","No_kegg"
"H6PD","protein_coding","ENSG00000049239","No_kegg"
"NEXMIF","protein_coding","ENSG00000050030","No_kegg"
