Node.1	Node.2	wTO
ENSG00000165637	ENSG00000224167	-0.52
ENSG00000165637	ENSG00000165678	0.55
ENSG00000165637	ENSG00000069345	0.55
ENSG00000165637	ENSG00000168291	0.53
ENSG00000165637	ENSG00000228302	0.53
ENSG00000165637	ENSG00000226419	-0.52
ENSG00000165637	ENSG00000100554	0.54
ENSG00000165637	ENSG00000170615	0.53
ENSG00000165637	ENSG00000177733	0.53
ENSG00000165637	ENSG00000198455	0.52
ENSG00000165637	ENSG00000253719	0.54
ENSG00000165637	ENSG00000120696	0.53
ENSG00000165637	ENSG00000152234	0.53
ENSG00000165637	ENSG00000268750	-0.53
ENSG00000165637	ENSG00000083828	-0.52
ENSG00000165637	ENSG00000169612	0.52
ENSG00000272772	ENSG00000198612	0.55
ENSG00000272772	ENSG00000131779	0.53
ENSG00000272772	ENSG00000069345	0.55
ENSG00000272772	ENSG00000228302	0.54
ENSG00000272772	ENSG00000226419	-0.53
ENSG00000272772	ENSG00000171243	0.53
ENSG00000272772	ENSG00000100554	0.55
ENSG00000272772	ENSG00000108946	0.54
ENSG00000272772	ENSG00000181061	0.55
ENSG00000272772	ENSG00000164172	0.54
ENSG00000272772	ENSG00000123575	0.53
ENSG00000272772	ENSG00000204138	-0.53
ENSG00000272772	ENSG00000168434	-0.53
ENSG00000272772	ENSG00000198455	0.52
ENSG00000272772	ENSG00000134717	0.53
ENSG00000272772	ENSG00000109133	0.53
ENSG00000272772	ENSG00000164346	0.52
ENSG00000272772	ENSG00000168092	0.53
ENSG00000272772	ENSG00000253719	0.55
ENSG00000272772	ENSG00000085788	0.53
ENSG00000272772	ENSG00000238198	-0.52
ENSG00000272772	ENSG00000239672	0.53
ENSG00000272772	ENSG00000165264	0.54
ENSG00000272772	ENSG00000072609	-0.53
ENSG00000272772	ENSG00000196072	0.54
ENSG00000272772	ENSG00000103091	-0.53
ENSG00000272772	ENSG00000263874	0.54
ENSG00000272772	ENSG00000083828	-0.53
ENSG00000272772	ENSG00000285667	-0.52
ENSG00000272772	ENSG00000011275	-0.54
ENSG00000272772	ENSG00000175606	0.54
ENSG00000272772	ENSG00000205238	-0.51
ENSG00000272772	ENSG00000180525	-0.53
ENSG00000272772	ENSG00000140153	-0.52
ENSG00000272772	ENSG00000111684	-0.53
ENSG00000162735	ENSG00000120696	0.52
ENSG00000162735	ENSG00000198954	0.51
ENSG00000162735	ENSG00000155096	0.52
ENSG00000162735	ENSG00000104331	0.52
ENSG00000131238	ENSG00000120696	0.52
ENSG00000102144	ENSG00000069345	0.53
ENSG00000198612	ENSG00000198689	0.54
ENSG00000198612	ENSG00000165678	0.55
ENSG00000198612	ENSG00000069345	0.55
ENSG00000198612	ENSG00000168291	0.53
ENSG00000198612	ENSG00000100554	0.55
ENSG00000198612	ENSG00000134440	0.55
ENSG00000198612	ENSG00000168434	-0.53
ENSG00000198612	ENSG00000138385	0.54
ENSG00000198612	ENSG00000268750	-0.53
ENSG00000198612	ENSG00000196072	0.54
ENSG00000198689	ENSG00000111817	0.54
ENSG00000198689	ENSG00000131263	0.54
ENSG00000198689	ENSG00000164032	0.53
ENSG00000198689	ENSG00000163875	0.55
ENSG00000198689	ENSG00000171243	0.54
ENSG00000198689	ENSG00000004961	0.53
ENSG00000198689	ENSG00000177432	0.55
ENSG00000198689	ENSG00000164172	0.53
ENSG00000198689	ENSG00000136003	0.55
ENSG00000198689	ENSG00000171476	0.53
ENSG00000198689	ENSG00000204138	-0.54
ENSG00000198689	ENSG00000253719	0.55
ENSG00000198689	ENSG00000196072	0.54
ENSG00000198689	ENSG00000263874	0.55
ENSG00000198689	ENSG00000041357	0.54
ENSG00000198689	ENSG00000273611	0.54
ENSG00000165678	ENSG00000131779	0.53
ENSG00000165678	ENSG00000160131	0.54
ENSG00000165678	ENSG00000069345	0.55
ENSG00000165678	ENSG00000133134	0.53
ENSG00000165678	ENSG00000168291	0.53
ENSG00000165678	ENSG00000164032	0.53
ENSG00000165678	ENSG00000100554	0.55
ENSG00000165678	ENSG00000108946	0.54
ENSG00000165678	ENSG00000181061	0.54
ENSG00000165678	ENSG00000136003	0.53
