Node.1	Node.2	wTO
ENSG00000081189	ENSG00000283228	0.54
ENSG00000081189	ENSG00000229956	0.54
ENSG00000081189	ENSG00000114446	0.53
ENSG00000081189	ENSG00000134121	0.53
ENSG00000081189	ENSG00000169891	0.54
ENSG00000081189	ENSG00000145730	0.54
ENSG00000081189	ENSG00000198919	0.55
ENSG00000081189	ENSG00000146267	0.54
ENSG00000081189	ENSG00000115419	0.54
ENSG00000081189	ENSG00000163558	0.53
ENSG00000081189	ENSG00000181638	-0.53
ENSG00000081189	ENSG00000162409	0.54
ENSG00000081189	ENSG00000264668	-0.53
ENSG00000081189	ENSG00000147654	0.53
ENSG00000081189	ENSG00000186350	-0.52
ENSG00000081189	ENSG00000157637	-0.54
ENSG00000081189	ENSG00000102967	-0.52
ENSG00000081189	ENSG00000117009	0.52
ENSG00000081189	ENSG00000178662	0.54
ENSG00000081189	ENSG00000287022	0.54
ENSG00000081189	ENSG00000146352	0.54
ENSG00000081189	ENSG00000161847	-0.55
ENSG00000081189	ENSG00000213398	-0.54
ENSG00000081189	ENSG00000133997	0.53
ENSG00000081189	ENSG00000285982	0.53
ENSG00000081189	ENSG00000005249	0.52
ENSG00000081189	ENSG00000179083	0.53
ENSG00000081189	ENSG00000135912	-0.5
ENSG00000081189	ENSG00000071564	-0.55
ENSG00000081189	ENSG00000266929	-0.53
ENSG00000081189	ENSG00000141905	-0.53
ENSG00000081189	ENSG00000166987	-0.53
ENSG00000081189	ENSG00000104936	-0.54
ENSG00000081189	ENSG00000130749	-0.54
ENSG00000081189	ENSG00000131748	-0.54
ENSG00000081189	ENSG00000105229	-0.54
ENSG00000081189	ENSG00000070961	0.53
ENSG00000081189	ENSG00000196498	-0.53
ENSG00000081189	ENSG00000079805	-0.53
ENSG00000081189	ENSG00000187792	-0.54
ENSG00000081189	ENSG00000132819	-0.53
ENSG00000081189	ENSG00000071626	-0.51
ENSG00000081189	ENSG00000172081	-0.55
ENSG00000081189	ENSG00000276418	0.51
ENSG00000081189	ENSG00000103653	-0.53
ENSG00000081189	ENSG00000170899	0.53
ENSG00000081189	ENSG00000103326	-0.52
ENSG00000081189	ENSG00000103335	-0.52
ENSG00000081189	ENSG00000225190	-0.52
ENSG00000081189	ENSG00000274180	-0.53
ENSG00000081189	ENSG00000105699	-0.51
ENSG00000081189	ENSG00000196576	-0.53
ENSG00000081189	ENSG00000178209	-0.51
ENSG00000081189	ENSG00000105552	-0.52
ENSG00000123119	ENSG00000143951	0.54
ENSG00000123119	ENSG00000229956	0.54
ENSG00000123119	ENSG00000114446	0.54
ENSG00000123119	ENSG00000138641	0.55
ENSG00000123119	ENSG00000134121	0.54
ENSG00000123119	ENSG00000115947	0.56
ENSG00000123119	ENSG00000126215	-0.54
ENSG00000123119	ENSG00000065559	0.55
ENSG00000123119	ENSG00000115419	0.55
ENSG00000123119	ENSG00000287542	0.55
ENSG00000123119	ENSG00000163558	0.54
ENSG00000123119	ENSG00000148925	0.54
ENSG00000123119	ENSG00000287319	0.53
ENSG00000123119	ENSG00000282218	0.53
ENSG00000123119	ENSG00000164129	0.52
ENSG00000123119	ENSG00000145864	0.54
ENSG00000123119	ENSG00000054277	0.54
ENSG00000123119	ENSG00000232040	0.53
ENSG00000123119	ENSG00000253766	0.53
ENSG00000123119	ENSG00000151465	0.52
ENSG00000123119	ENSG00000118402	0.53
ENSG00000123119	ENSG00000224223	0.52
ENSG00000123119	ENSG00000113163	0.54
ENSG00000123119	ENSG00000049130	0.52
ENSG00000123119	ENSG00000107518	0.52
ENSG00000123119	ENSG00000109832	0.51
ENSG00000123119	ENSG00000115840	0.53
ENSG00000123119	ENSG00000255082	0.53
ENSG00000123119	ENSG00000161847	-0.54
ENSG00000123119	ENSG00000125629	0.52
ENSG00000123119	ENSG00000117155	0.53
ENSG00000123119	ENSG00000164024	0.53
ENSG00000123119	ENSG00000235978	0.53
ENSG00000123119	ENSG00000082397	0.52
ENSG00000123119	ENSG00000179083	0.53
ENSG00000123119	ENSG00000255028	0.53
ENSG00000123119	ENSG00000071564	-0.55
ENSG00000123119	ENSG00000258636	0.53
ENSG00000123119	ENSG00000214265	0.53
ENSG00000123119	ENSG00000134108	0.53
ENSG00000123119	ENSG00000125848	0.53
ENSG00000123119	ENSG00000130638	0.53
ENSG00000123119	ENSG00000172575	0.53
ENSG00000123119	ENSG00000255027	0.51
ENSG00000123119	ENSG00000198478	0.52
ENSG00000123119	ENSG00000206418	0.52
ENSG00000143951	ENSG00000197724	-0.55
ENSG00000143951	ENSG00000283228	0.53
ENSG00000143951	ENSG00000254530	0.52
ENSG00000143951	ENSG00000077264	0.53
ENSG00000143951	ENSG00000174628	-0.53
ENSG00000143951	ENSG00000115966	0.53
ENSG00000143951	ENSG00000116120	0.54
ENSG00000143951	ENSG00000117298	-0.54
ENSG00000143951	ENSG00000143164	0.54
ENSG00000143951	ENSG00000145730	0.54
ENSG00000143951	ENSG00000227028	0.52
ENSG00000143951	ENSG00000070047	-0.51
ENSG00000143951	ENSG00000198919	0.55
ENSG00000143951	ENSG00000141086	-0.53
ENSG00000143951	ENSG00000287542	0.55
ENSG00000143951	ENSG00000163558	0.53
ENSG00000143951	ENSG00000287319	0.52
ENSG00000143951	ENSG00000282218	0.52
ENSG00000143951	ENSG00000164129	0.53
ENSG00000143951	ENSG00000145864	0.53
ENSG00000143951	ENSG00000160796	-0.53
ENSG00000143951	ENSG00000061273	-0.54
ENSG00000143951	ENSG00000109670	0.53
ENSG00000143951	ENSG00000126391	-0.53
ENSG00000143951	ENSG00000287364	0.52
ENSG00000143951	ENSG00000188603	-0.54
ENSG00000143951	ENSG00000164877	-0.53
ENSG00000143951	ENSG00000168487	-0.53
ENSG00000143951	ENSG00000157077	0.52
ENSG00000143951	ENSG00000162409	0.53
ENSG00000143951	ENSG00000095539	-0.53
ENSG00000143951	ENSG00000188026	-0.53
ENSG00000143951	ENSG00000113163	0.53
ENSG00000143951	ENSG00000179335	-0.54
ENSG00000143951	ENSG00000125826	-0.52
ENSG00000143951	ENSG00000107518	0.52
ENSG00000143951	ENSG00000266728	-0.53
ENSG00000143951	ENSG00000102967	-0.54
ENSG00000143951	ENSG00000089060	-0.52
ENSG00000143951	ENSG00000178662	0.54
ENSG00000143951	ENSG00000167566	-0.53
ENSG00000143951	ENSG00000130402	-0.53
ENSG00000143951	ENSG00000180116	0.53
ENSG00000143951	ENSG00000162694	0.52
ENSG00000143951	ENSG00000135637	-0.54
ENSG00000143951	ENSG00000256007	-0.51
ENSG00000143951	ENSG00000162430	-0.54
ENSG00000143951	ENSG00000101247	0.55
ENSG00000143951	ENSG00000077454	-0.53
ENSG00000143951	ENSG00000213398	-0.53
ENSG00000143951	ENSG00000285982	0.53
ENSG00000143951	ENSG00000257434	0.53
ENSG00000143951	ENSG00000135835	-0.52
ENSG00000143951	ENSG00000166123	-0.52
ENSG00000143951	ENSG00000244383	-0.53
ENSG00000143951	ENSG00000258881	-0.53
ENSG00000143951	ENSG00000164024	0.54
ENSG00000143951	ENSG00000089159	-0.53
ENSG00000143951	ENSG00000163053	0.51
ENSG00000143951	ENSG00000235978	0.53
ENSG00000143951	ENSG00000115282	-0.53
ENSG00000143951	ENSG00000082397	0.53
ENSG00000143951	ENSG00000179083	0.54
ENSG00000143951	ENSG00000135912	-0.52
ENSG00000143951	ENSG00000204219	-0.52
ENSG00000143951	ENSG00000255028	0.53
ENSG00000143951	ENSG00000130304	-0.53
ENSG00000143951	ENSG00000071564	-0.55
ENSG00000143951	ENSG00000214265	0.53
ENSG00000143951	ENSG00000077684	0.53
ENSG00000143951	ENSG00000152402	0.51
ENSG00000143951	ENSG00000134108	0.52
ENSG00000143951	ENSG00000113504	-0.53
ENSG00000143951	ENSG00000163126	-0.51
ENSG00000143951	ENSG00000175309	-0.52
ENSG00000143951	ENSG00000163214	0.53
ENSG00000143951	ENSG00000104936	-0.54
ENSG00000143951	ENSG00000130702	-0.53
ENSG00000143951	ENSG00000130749	-0.54
ENSG00000143951	ENSG00000167930	-0.53
ENSG00000143951	ENSG00000131748	-0.54
ENSG00000143951	ENSG00000072163	-0.52
ENSG00000143951	ENSG00000241472	0.52
ENSG00000143951	ENSG00000286192	-0.52
ENSG00000143951	ENSG00000189157	0.54
ENSG00000143951	ENSG00000122965	-0.51
ENSG00000143951	ENSG00000143842	-0.54
ENSG00000143951	ENSG00000173614	-0.53
ENSG00000143951	ENSG00000214063	-0.53
ENSG00000143951	ENSG00000164850	-0.52
ENSG00000143951	ENSG00000076555	-0.53
ENSG00000143951	ENSG00000126603	-0.53
ENSG00000143951	ENSG00000229205	-0.51
ENSG00000143951	ENSG00000225697	-0.53
ENSG00000143951	ENSG00000086848	0.53
ENSG00000143951	ENSG00000198478	0.53
ENSG00000143951	ENSG00000174945	-0.53
ENSG00000143951	ENSG00000088881	-0.53
ENSG00000143951	ENSG00000173531	-0.51
ENSG00000143951	ENSG00000071246	-0.52
ENSG00000143951	ENSG00000129566	-0.52
ENSG00000143951	ENSG00000168874	-0.52
ENSG00000143951	ENSG00000127946	-0.52
ENSG00000143951	ENSG00000187792	-0.54
ENSG00000143951	ENSG00000132819	-0.54
ENSG00000143951	ENSG00000167302	-0.53
ENSG00000143951	ENSG00000206418	0.53
ENSG00000143951	ENSG00000113048	0.53
ENSG00000143951	ENSG00000112787	-0.53
ENSG00000143951	ENSG00000109956	-0.53
ENSG00000143951	ENSG00000244161	-0.52
ENSG00000143951	ENSG00000283900	-0.54
ENSG00000143951	ENSG00000122085	-0.53
ENSG00000143951	ENSG00000092929	-0.52
ENSG00000143951	ENSG00000142347	-0.53
ENSG00000143951	ENSG00000133247	-0.52
ENSG00000143951	ENSG00000072134	-0.53
ENSG00000143951	ENSG00000276418	0.54
ENSG00000143951	ENSG00000103653	-0.53
ENSG00000143951	ENSG00000183955	-0.54
ENSG00000143951	ENSG00000225032	-0.52
ENSG00000143951	ENSG00000134815	-0.54
ENSG00000143951	ENSG00000106733	0.52
ENSG00000143951	ENSG00000106591	0.52
ENSG00000143951	ENSG00000215915	-0.52
ENSG00000143951	ENSG00000128602	-0.52
ENSG00000143951	ENSG00000137947	0.52
ENSG00000143951	ENSG00000167280	-0.53
ENSG00000143951	ENSG00000235272	0.52
ENSG00000143951	ENSG00000225190	-0.53
ENSG00000143951	ENSG00000177879	0.51
ENSG00000143951	ENSG00000082781	-0.51
ENSG00000143951	ENSG00000267080	-0.53
ENSG00000143951	ENSG00000274180	-0.54
ENSG00000143951	ENSG00000133943	-0.53
ENSG00000143951	ENSG00000130827	-0.52
ENSG00000143951	ENSG00000068383	-0.53
ENSG00000143951	ENSG00000269124	-0.52
ENSG00000143951	ENSG00000124067	-0.52
ENSG00000143951	ENSG00000184232	-0.52
ENSG00000143951	ENSG00000176371	-0.53
ENSG00000143951	ENSG00000134574	-0.5
ENSG00000143951	ENSG00000161791	-0.52
ENSG00000143951	ENSG00000164037	0.53
ENSG00000143951	ENSG00000133027	-0.52
ENSG00000143951	ENSG00000228748	-0.52
ENSG00000143951	ENSG00000172819	-0.53
ENSG00000143951	ENSG00000285245	-0.51
ENSG00000143951	ENSG00000186815	-0.52
ENSG00000143951	ENSG00000132003	-0.52
ENSG00000143951	ENSG00000107736	-0.53
ENSG00000143951	ENSG00000124440	-0.53
ENSG00000143951	ENSG00000105552	-0.53
ENSG00000143951	ENSG00000100266	-0.52
ENSG00000143951	ENSG00000100106	-0.53
ENSG00000143951	ENSG00000160208	-0.52
ENSG00000143951	ENSG00000183397	-0.53
ENSG00000143951	ENSG00000186998	-0.51
ENSG00000143951	ENSG00000182871	-0.52
ENSG00000143951	ENSG00000276043	-0.52
ENSG00000143951	ENSG00000160293	-0.53
ENSG00000143951	ENSG00000162337	-0.53
ENSG00000197724	ENSG00000145681	-0.53
ENSG00000197724	ENSG00000152503	-0.55
ENSG00000197724	ENSG00000109738	-0.56
ENSG00000197724	ENSG00000138641	-0.55
ENSG00000197724	ENSG00000115947	-0.55
ENSG00000197724	ENSG00000169891	-0.54
ENSG00000197724	ENSG00000235079	-0.54
ENSG00000197724	ENSG00000245864	-0.53
ENSG00000197724	ENSG00000227028	-0.54
ENSG00000197724	ENSG00000070047	0.54
ENSG00000197724	ENSG00000117266	0.55
ENSG00000197724	ENSG00000198919	-0.55
ENSG00000197724	ENSG00000049239	0.55
ENSG00000197724	ENSG00000287542	-0.55
ENSG00000197724	ENSG00000144227	-0.54
ENSG00000197724	ENSG00000287319	-0.54
ENSG00000197724	ENSG00000164129	-0.55
ENSG00000197724	ENSG00000061273	0.55
ENSG00000197724	ENSG00000054277	-0.54
