Node.1	Node.2	wTO
ENSG00000085365	ENSG00000163281	0.55
ENSG00000085365	ENSG00000143653	0.54
ENSG00000085365	ENSG00000156642	0.55
ENSG00000085365	ENSG00000015285	-0.52
ENSG00000085365	ENSG00000222009	-0.53
ENSG00000085365	ENSG00000107719	-0.52
ENSG00000085365	ENSG00000072756	0.54
ENSG00000085365	ENSG00000100934	0.56
ENSG00000085365	ENSG00000115944	0.53
ENSG00000085365	ENSG00000124532	0.53
ENSG00000085365	ENSG00000152932	0.54
ENSG00000085365	ENSG00000137494	0.53
ENSG00000085365	ENSG00000102078	0.53
ENSG00000085365	ENSG00000148688	0.55
ENSG00000085365	ENSG00000161021	-0.55
ENSG00000085365	ENSG00000107372	0.51
ENSG00000085365	ENSG00000145354	0.54
ENSG00000085365	ENSG00000109436	0.54
ENSG00000085365	ENSG00000164024	0.51
ENSG00000085365	ENSG00000119396	0.55
ENSG00000085365	ENSG00000163512	0.54
ENSG00000085365	ENSG00000106591	0.54
ENSG00000085365	ENSG00000116095	0.54
ENSG00000085365	ENSG00000256742	-0.54
ENSG00000085365	ENSG00000151806	0.54
ENSG00000085365	ENSG00000186815	-0.53
ENSG00000085365	ENSG00000174405	0.54
ENSG00000085365	ENSG00000049130	0.53
ENSG00000085365	ENSG00000060982	0.53
ENSG00000085365	ENSG00000260448	-0.53
ENSG00000085365	ENSG00000198496	-0.54
ENSG00000085365	ENSG00000123411	-0.53
ENSG00000085365	ENSG00000183605	-0.52
ENSG00000085365	ENSG00000117906	0.54
ENSG00000085365	ENSG00000120526	0.53
ENSG00000085365	ENSG00000136206	-0.52
ENSG00000085365	ENSG00000091664	0.53
ENSG00000085365	ENSG00000165355	0.52
ENSG00000085365	ENSG00000132664	0.53
ENSG00000085365	ENSG00000196436	-0.52
ENSG00000085365	ENSG00000099338	-0.54
ENSG00000085365	ENSG00000236383	-0.53
ENSG00000085365	ENSG00000261824	0.52
ENSG00000085365	ENSG00000129667	-0.52
ENSG00000085365	ENSG00000196172	0.53
ENSG00000085365	ENSG00000176920	-0.52
ENSG00000085365	ENSG00000105486	-0.51
ENSG00000085365	ENSG00000130518	-0.51
ENSG00000085365	ENSG00000198168	0.54
ENSG00000085365	ENSG00000238194	-0.51
ENSG00000087470	ENSG00000254433	0.55
ENSG00000087470	ENSG00000136531	0.54
ENSG00000087470	ENSG00000109738	0.53
ENSG00000087470	ENSG00000164933	0.53
ENSG00000087470	ENSG00000113161	0.54
ENSG00000087470	ENSG00000239605	-0.52
ENSG00000087470	ENSG00000255082	0.52
ENSG00000087470	ENSG00000165832	0.55
ENSG00000087470	ENSG00000114268	-0.52
ENSG00000087470	ENSG00000224675	0.54
ENSG00000087470	ENSG00000163001	0.55
ENSG00000087470	ENSG00000285693	-0.54
